train_F1,step,train_mIoU,train_OA,epoch
0.3227972061134315,698,0.1598286197483949,0.4722522741053066,0
0.4908396157328151,1397,0.21694223026655313,0.4787654849422165,1
0.49004017715769477,2096,0.2164768897287621,0.477595775424155,2
0.49076598345237826,2795,0.21742119381531425,0.4817455984833243,3
0.485334198358773,3494,0.21361552906111303,0.47262147567814505,4
