train_mIoU,step,train_OA,epoch,train_F1,val_F1,val_OA,val_mIoU
0.16015076066633066,348,0.46972916392678854,0,0.3242565263652193,,,
0.21012467304283478,697,0.4688893840101181,1,0.47805997175055037,,,
0.21396602451467736,1046,0.47742584578287284,2,0.48401699062681924,,,
0.21518412054077596,1395,0.48289813284887617,3,0.4844605433143458,,,
0.21898067852940764,1744,0.48445787402483653,4,0.49314877792666434,,,
0.21928355035187666,2093,0.4846562601433783,5,0.49424301551354594,,,
0.21300982533914317,2442,0.4745828579353397,6,0.4827890644591136,,,
0.2139699588398181,2791,0.47384908069512216,7,0.4857282554502349,,,
0.21310799059053434,3140,0.4719288123712839,8,0.4841259421988967,,,
0.2112607479903176,3489,0.4745468095926978,9,0.4782244814611194,,,
0.21025702551398728,3838,0.4684913875721928,10,0.4787113467669012,,,
0.21090534734910163,4187,0.47003468947970756,11,0.4798010623937766,,,
0.22122928062582603,4536,0.48646770575668197,12,0.4978792645422127,,,
0.20906698002931687,4885,0.46569295189100546,13,0.4774668740917556,,,
0.2095804527132948,5234,0.4683917245072416,14,0.4772779486943337,,,
0.2086028104448002,5583,0.46501111574364246,15,0.4761735611071461,,,
0.20668280105716777,5932,0.46556434522044005,16,0.4709804178251271,,,
0.21651334510508083,6281,0.47893368958743726,17,0.48963795549737643,,,
0.20166960226638175,6630,0.4594239724058134,18,0.46115051194841716,,,
0.20681656173528706,6979,0.4669965509015714,19,0.4709435378127394,,,
0.21623455867655964,7328,0.4867165901599435,20,0.48535668049439873,,,
0.20106650969697415,7677,0.46401240832484547,21,0.45724978063577604,,,
0.20135312848914913,8026,0.46834328113107754,22,0.4556908446421156,,,
0.20284764374040484,8375,0.46131297988672987,23,0.4630188733658487,,,
0.20419983977620978,8724,0.46266847626869173,24,0.4659741404029917,,,
0.2177282887806532,9073,0.4831961383109106,25,0.4907279912320044,,,
0.19925818130019954,9422,0.47109867303624187,26,0.4489368184573471,,,
0.21093021518311228,9771,0.47804867982181226,27,0.4759935844053126,,,
0.21461282027388875,10120,0.4748607733871328,28,0.4866740420744691,,,
0.20351323400403468,10469,0.4750637283981016,29,0.45835854898237094,,,
0.21360946369604272,10818,0.4806772139147564,30,0.4815452518344338,,,
0.20230954958085526,11167,0.47096753052107576,31,0.4572494592600299,,,
0.20730192537863057,11516,0.47271774423156554,32,0.469534629100851,,,
0.21472344259721568,11865,0.47553635736591143,33,0.4868192376900389,,,
0.20231405368452013,12214,0.4722663857533801,34,0.4565017213886633,,,
0.20636354302554327,12563,0.46657251833503083,35,0.47002537899007857,,,
0.2122423154388128,12912,0.4725784258036353,36,0.4818897365452856,,,
0.21068370202252004,13261,0.4792745420789308,37,0.47464733578057183,,,
0.20157430807571444,13610,0.4688274525639662,38,0.4562514964240474,,,
,13959,,39,,0.5456008880360881,0.5309014650854725,0.2504277044430636
0.2003166759407642,13959,0.48080671687522375,39,0.4471198204669477,,,
0.210940658988108,14308,0.46827660590666403,40,0.48065848472139017,,,
0.2083188468256798,14657,0.47719272296544807,41,0.4701563596155842,,,
0.21179451819286652,15006,0.4775729466304396,42,0.47852138267753175,,,
0.21458880589690077,15355,0.4751671515084952,43,0.48654206891519597,,,
0.2142695188037452,15704,0.47467178738219684,44,0.4858116921013034,,,
0.21361640116410116,16053,0.47246276068482485,45,0.48514658633910973,,,
0.21882938028072707,16402,0.4822577446442961,46,0.4940637391285778,,,
0.21290996263334558,16751,0.4723859420820088,47,0.4836433563028712,,,
0.19637868124669774,17100,0.46795429131363037,48,0.4426579893656636,,,
0.20155959744691168,17449,0.46911837514970217,49,0.45632461788307177,,,
0.21896827949689976,17798,0.49128865239271796,50,0.490397785267525,,,
0.19935620113938005,18147,0.4713646743905578,51,0.4488301285565062,,,
