step,train_mIoU,train_R2,train_OA,epoch,train_F1
698,0.21304608374548972,0.16328345760751628,0.47146425260835784,0,0.3229371049097256
1397,0.20950499455552252,0.2240463645188161,0.47087780429911025,1,0.4757802249527412
2096,0.21685273281470194,0.235058395977001,0.47933612872602593,2,0.49025877621104214
2795,0.22017775787845137,0.24051729182467,0.4847872274286927,3,0.49599992718884645
3494,0.20988618374838341,0.2233889670503646,0.4663402246303312,4,0.4788577335623404
4193,0.20926712450502052,0.22252109176453844,0.4663373431422679,5,0.47704472109026375
4892,0.2064824887753107,0.22199617445379086,0.4772549739723041,6,0.4649946652664706
5591,0.20566064475880783,0.21694096255623357,0.4603696722158887,7,0.4711068774877972
6290,0.21197405898867364,0.22757980057879146,0.472842018662263,8,0.48122762446162526
