step,train_F1,train_mIoU,epoch,train_OA,val_mIoU,val_F1,val_OA
9422,0.5321676737669702,0.4423837357549035,26,0.775775111507208,,,
9771,0.5391668825433085,0.4520759946011978,27,0.786095386931411,,,
10120,0.5402493005347676,0.45372685990061234,28,0.7879201675895974,,,
10469,,,29,,0.24848646650899422,0.36201301852330764,0.5248032371596526
10469,0.5407405520738336,0.4547624758730178,29,0.7887511813538121,,,
10818,0.5368579396288523,0.4494102754374838,30,0.783271090007443,,,
11167,0.5368746658867986,0.44927699565189555,31,0.7835610725818185,,,
11516,0.5414189498983437,0.4556204792325012,32,0.7894237704126745,,,
11865,0.5398792337732907,0.4536636770169827,33,0.7879463130218592,,,
12214,,,34,,0.3013280091368598,0.41463254683237744,0.6037287948155158
12214,0.5379982552777135,0.4510097525039079,34,0.7851109108473987,,,
12563,0.539550225711594,0.45309252488818713,35,0.7870886510286084,,,
12912,0.5432394639412124,0.45753985664555996,36,0.7916919085221167,,,
13261,0.5379056943739409,0.45090202934638074,37,0.7848962603462458,,,
13610,0.5424635344843652,0.45728607018717643,38,0.7914479209222218,,,
13959,,,39,,0.13848533813050742,0.3257589096477325,0.3625456555054914
13959,0.541550241296627,0.45608813435358675,39,0.7902116310972196,,,
14308,0.5379631616633948,0.45093025445508933,40,0.7851048554253782,,,
14657,0.5406304350389312,0.45467353373098995,41,0.7887465250184679,,,
15006,0.5458910610427227,0.4622105172320416,42,0.7960690167708518,,,
15355,0.5442613524685534,0.45992603815590805,43,0.794078947138308,,,
15704,,,44,,0.2130091339241977,0.4839555915717693,0.46988640209235694
15704,0.5445328908345625,0.4602446503504754,44,0.7943847568807082,,,
16053,0.5430538323303759,0.4581423870694285,45,0.7921766483339675,,,
16402,0.5438079620222959,0.4593014530990864,46,0.7938394847093816,,,
16751,0.5410130981680105,0.4552198770162928,47,0.7891854666024019,,,
17100,0.5429370268557818,0.457966894662065,48,0.7921089893767347,,,
17449,,,49,,0.2503111015545045,0.36363349135974854,0.5302797827390152
17449,0.5456695240983659,0.4617242741459679,49,0.795989443716142,,,
17798,0.5409392395039719,0.45519821896092205,50,0.789346995531317,,,
18147,0.5434843870431006,0.4588568303515613,51,0.7929687499999999,,,
18496,0.5454754642309925,0.4616715499703347,52,0.7962689768619045,,,
18845,0.5435854497755072,0.4589575972548981,53,0.7933743321109978,,,
19194,,,54,,0.19584806135795987,0.29903970137338465,0.45199071298731364
19194,0.5441903702652765,0.4597809193041685,54,0.79440419106907,,,
19543,0.5439687869874659,0.45950334395009645,55,0.7939578605586272,,,
19892,0.5436629262458365,0.45901820344130334,56,0.7935005996835265,,,
20241,0.5460670970690968,0.4625270323039552,57,0.7967626795727748,,,
20590,0.5453552903459452,0.46144132913706376,58,0.796125155123735,,,
20939,,,59,,0.46156383615554847,0.5436615247251856,0.805824808555073
20939,0.5450645275790359,0.4610595930112196,59,0.795372315327554,,,
21288,0.5455397834668326,0.4616014739934539,60,0.7958000204966197,,,
21637,0.5454772606658026,0.4615532653594094,61,0.7959231182633976,,,
21986,0.5461999951579034,0.46269158512894376,62,0.7970266478792642,,,
22335,0.5488211263676883,0.46625723782425793,63,0.8006421501793628,,,
22684,,,64,,0.4265639648971454,0.5202832319772831,0.7585180301477401
22684,0.5473874915251713,0.4643872976358831,64,0.7991054502121014,,,
23033,0.5472105777244715,0.46387528892674207,65,0.7981617225275339,,,
23382,0.5467563155299735,0.46336593488964556,66,0.7976689379672948,,,
23731,0.547548840015951,0.46453235539453736,67,0.7985607245590077,,,
24080,0.5475627720730611,0.4645203445520414,68,0.798866949655265,,,
24429,,,69,,0.15526460601598024,0.24211794822126156,0.3935212994566052
24429,0.5505773306356414,0.4690054596024089,69,0.8032602129829646,,,
24778,0.5471375761778442,0.4640616068955928,70,0.7985176370615261,,,
25127,0.5445885105749433,0.46039599340695475,71,0.7950403164314335,,,
25476,0.5479293100964706,0.46508527848982945,72,0.7991028050638542,,,
25825,0.5450833309530755,0.46110123757895916,73,0.7955109342121461,,,
