train_F1,epoch,train_OA,train_mIoU,step,val_F1,val_mIoU,val_OA
0.3284777529683363,0,0.4745638172401056,0.1627390594858781,348,,,
0.4739460600469808,1,0.46425539033119173,0.20764022296279294,697,,,
0.48722167681256845,2,0.4798907085954288,0.21569268502182007,1046,,,
0.4788576774308091,3,0.48136956507292034,0.2126522449715421,1395,,,
0.49316908346043703,4,0.48414915680543735,0.21894213952406094,1744,,,
0.48966109156016924,5,0.47972410797731235,0.21651299443207164,2093,,,
0.4930396425380169,6,0.48518701679043913,0.21912160648603207,2442,,,
0.4824594933001791,7,0.4705188827733255,0.2120452676975045,2791,,,
0.47931527838153865,8,0.4662333491196946,0.21013964815329592,3140,,,
0.4779302478851894,9,0.47686538040467175,0.21157657535510607,3489,,,
0.48760169749525256,10,0.4797404379421113,0.21585344367268985,3838,,,
0.4776809499020245,11,0.46937150053445104,0.20993230032465438,4187,,,
0.5017579322272784,12,0.49055236116862905,0.22357422853002085,4536,,,
0.46699740143095925,13,0.4555292430101629,0.2030977024995347,4885,,,
0.47755611364939243,14,0.47216458033695596,0.21039911682972123,5234,,,
0.49152521731829596,15,0.4792950255822998,0.21737834705306044,5583,,,
0.4685133256712861,16,0.4680649503254275,0.20618739585314108,5932,,,
0.4844221451602321,17,0.4747796044991829,0.21365946548668424,6281,,,
0.47457177455443567,18,0.47224526828886093,0.2092361203245888,6630,,,
0.48554106476755565,19,0.4784516823667509,0.21467640292182502,6979,,,
0.4681147986126274,20,0.47534269316490185,0.2073833495291457,7328,,,
0.4588030811866607,21,0.47968609216903196,0.20460035590043205,7677,,,
0.4559756998438256,22,0.4670825510107001,0.2012346467315915,8026,,,
0.4612291549130528,23,0.47552330651050984,0.204708757822934,8375,,,
0.45615273684046553,24,0.4575756040206952,0.19947357645959007,8724,,,
0.49286248461115434,25,0.4874289438854315,0.21934613212936194,9073,,,
0.4645108164980595,26,0.4783580747238202,0.2064599357997853,9422,,,
0.49403734720855574,27,0.49201722677935833,0.22065945408553686,9771,,,
0.48723183739788833,28,0.4762157451115911,0.215064076206216,10120,,,
0.5003749723204448,29,0.49466025453583895,0.22380034424122433,10469,,,
0.5058652522504394,30,0.49962795224777257,0.2269851995407587,10818,,,
0.5321336665614983,31,0.5209813158969824,0.24211065768531861,11167,,,
0.5501220333869288,32,0.5375497156706102,0.2531547464281221,11516,,,
0.544772722240586,33,0.5306537486079087,0.2495832854112007,11865,,,
0.5304018938158264,34,0.5168793030659584,0.24064796486706108,12214,,,
0.55543488569804,35,0.5417790891106284,0.2563653433893415,12563,,,
0.5632074844723606,36,0.5485866295232471,0.26133942104026947,12912,,,
0.558363594499026,37,0.5435989948261774,0.25821060321715433,13261,,,
0.5636250007328056,38,0.5484773914588555,0.26159603264384534,13610,,,
,39,,,13959,0.7794622932545232,0.4288663475320433,0.764177076887375
0.5550389430774645,39,0.5410131328768579,0.25609104971117475,13959,,,
