train_F1,train_OA,step,epoch,train_mIoU,val_OA,val_mIoU,val_F1
0.3143086438848027,0.47942391644234633,348,0,0.1571757475144671,,,
0.32478897514253,0.4810156835867545,697,1,0.12025419808604919,,,
0.3244602989163079,0.48029353625453297,1046,2,0.16009842558218157,,,
0.6485763191374074,0.4799207889589675,1395,3,0.15997359631965585,,,
,,1744,4,,0.32797679334583796,0.10932559778194617,0.49394958554885704
0.6493686301713474,0.48078894410228995,1744,4,0.16026298136743,,,
0.649580072505456,0.4810207989974144,2093,5,0.12025519974935363,,,
0.6494418829179159,0.48086926042179656,2442,6,0.16028975347393223,,,
0.648836481891841,0.4802057435656003,2791,7,0.16006858118853345,,,
0.649426790391707,0.48085271184970446,3140,8,0.16028423728323485,,,
,,3489,9,,0.32797679334583796,0.10932559778194617,0.49394958554885704
0.6484919717725763,0.47982842737760784,3489,9,0.1599428091258693,,,
0.6491552866276479,0.4805550780200684,3838,10,0.16018502600668952,,,
0.32428306075243063,0.47990953068336983,4187,11,0.15996985536815508,,,
0.6490045414631939,0.48038987648862813,4536,12,0.16012995882954276,,,
0.6495760260974961,0.48101636126936326,4885,13,0.1603387870897878,,,
,,5234,14,,0.32797679334583796,0.10932559778194617,0.49394958554885704
0.6484154611040932,0.4797446570628693,5234,14,0.1599148856876231,,,
0.6489536072481853,0.48033406604668466,5583,15,0.1601113553488949,,,
0.6487540629537825,0.4801154587535256,5932,16,0.16003848625117523,,,
0.6485154902739049,0.47985417931674196,6281,17,0.15995139310558068,,,
0.6486120313340688,0.4799598978037137,6630,18,0.1599866326012379,,,
,,6979,19,,0.32797679334583796,0.10932559778194617,0.49394958554885704
0.6488859882892556,0.48025998003503306,6979,19,0.1600866600116777,,,
0.32441382951100367,0.48019562204792704,7328,20,0.12004894983231425,,,
0.6486896973482825,0.48004495790148183,7677,21,0.16001498596716066,,,
0.648524074921912,0.4798635794303478,8026,22,0.15995452647678263,,,
0.6492419643239827,0.48065008474967535,8375,23,0.16021669491655846,,,
,,8724,24,,0.32797679334583796,0.10932559778194617,0.49394958554885704
