train_mIoU,train_F1,epoch,train_OA,step
0.2664489051267292,0.6952780806304331,0,0.6760526728151861,348
0.2795634488855654,0.7172260215672088,1,0.6985565885090212,697
0.29287743591730586,0.7387709063882568,2,0.7192150651554664,1046
0.3001493705999472,0.7501916831556092,3,0.7299579084773459,1395
0.41544748526283987,0.767772055093712,4,0.747112394403933,1744
0.31783651301710036,0.7772087804184711,5,0.7564234255378088,2093
0.3237426446390082,0.7859692243186323,6,0.7648188637457467,2442
0.3317016607489804,0.7975580156009239,7,0.775854487815354,2791
0.3318732632067597,0.7978035987621122,8,0.7761218663956169,3140
0.4493358349112599,0.5367890174710466,9,0.7834783078606284,3489
0.45618500537563733,0.5416156778168933,10,0.7907643577772429,3838
0.46097153636411353,0.5450400290773442,11,0.7953192593375044,4187
0.4650146626421034,0.5480943600806988,12,0.7994209223968592,4536
0.4691167703052672,0.5513787781382233,13,0.803264803736121,4885
0.47073270012163526,0.5537125042456023,14,0.8036140288869424,5234
0.4773299321627274,0.5607987950226194,15,0.8080979267983859,5583
0.48448194479348833,0.5759255901713823,16,0.8080209551704646,5932
0.5776052315629034,0.7102271179396201,17,0.8197963025986634,6281
0.5965232223250628,0.7308047658103117,18,0.823407869967485,6630
0.6023578397674175,0.7356206058118627,19,0.8275348258906584,6979
0.6121982506354803,0.744646402683608,20,0.8316589180582914,7328
0.6043491910993128,0.7363672300404875,21,0.8303158822920397,7677
0.6093374740922634,0.7418336645385913,22,0.8309770600501991,8026
0.6086743875791831,0.7406629247879956,23,0.831742207436985,8375
0.605356405806703,0.7371166729705868,24,0.8310647652962145,8724
0.6031421840215275,0.7358901406023732,25,0.8287719464233747,9073
0.620747496675182,0.7522228850987883,26,0.8355976968235135,9422
0.6294180055040036,0.7599983181521414,27,0.8393643442061021,9771
0.630431255222292,0.7605664978723654,28,0.8406588710140019,10120
0.6169848849957594,0.7476123942301104,29,0.8370224261352188,10469
0.6191011297497833,0.74985703216711,30,0.8367808869370074,10818
0.6285271381507321,0.7583919786082106,31,0.8407836739176664,11167
0.6378401874496062,0.767838196232571,32,0.8416463857393892,11516
0.6310047300536896,0.7605735312438048,33,0.8418149319624147,11865
0.6349201520701263,0.7649573479566052,34,0.8413231529957242,12214
0.6300760219871299,0.76023136160746,35,0.8403775890098942,12563
0.6251491249195107,0.7546059235725715,36,0.8411671329705966,12912
0.6364548595539635,0.7659530438923247,37,0.8426582751779637,13261
0.6449699743735041,0.7731011816645168,38,0.8467112106716734,13610
