epoch,train_F1,train_OA,step,train_mIoU,val_OA,val_F1,val_mIoU
114,0.83421990778558,0.876305347868911,40134,0.7215211059920709,,,
115,0.8408456612823358,0.8796530999563483,40483,0.7305005525349312,,,
116,0.8462283341104069,0.8812695915856128,40832,0.7377136537248421,,,
117,0.8405817121009181,0.8805870340341824,41181,0.7304588586018089,,,
118,0.840865045030298,0.8796587181637825,41530,0.7305476572488231,,,
119,,,41879,,0.8941215288521026,0.842993695873015,0.7361912616607085
119,0.8360697722157227,0.8784692321602456,41879,0.7243097393191716,,,
120,0.8430976745526945,0.8809706242514885,42228,0.7336609804133536,,,
121,0.8417176738647218,0.880489294713411,42577,0.7318370407001029,,,
122,0.838676284492462,0.8775588202271556,42926,0.7272874987182112,,,
123,0.8386904917774028,0.8800334985071744,43275,0.7279880933293169,,,
124,,,43624,,0.8987408628558154,0.8568045584922773,0.7551269941548163
124,0.8296998123418357,0.8733677467848987,43624,0.7152126611651184,,,
125,0.8412792030992519,0.8808668732301552,43973,0.7313963443306494,,,
126,0.8475250525375397,0.8831108989551619,44322,0.7398266049013281,,,
127,0.8331637970646898,0.8775320408337436,44671,0.7205316177082088,,,
128,0.8439296715173378,0.8811022914241582,45020,0.7347257904064587,,,
129,,,45369,,0.9049087373336929,0.8705682260714962,0.7747885612265953
129,0.8502937811658319,0.8831243870251498,45369,0.7433821630465501,,,
130,0.8434364874707289,0.8824876714230948,45718,0.7344958963290402,,,
131,0.840388664270869,0.8793834259995074,46067,0.7298855963815303,,,
132,0.8430840162167436,0.8823251150399019,46416,0.7340253117714198,,,
133,0.8487977238827252,0.8827975909826065,46765,0.7413555049045709,,,
134,,,47114,,0.8917095826403916,0.8412292870273489,0.7340547824564826
134,0.8623420591862558,0.8886652293382878,47114,0.7605390945883395,,,
135,0.8485113695324501,0.8843121897525295,47463,0.7413417228657054,,,
136,0.8408725511403873,0.8809372210570938,47812,0.730897305027391,,,
137,0.8375040882432153,0.879729612508954,48161,0.726434287451323,,,
138,0.8538790253543914,0.8844918630867769,48510,0.7483616861201975,,,
139,,,48859,,0.8944606969852245,0.8440317939262685,0.7380079670479142
139,0.846193221074444,0.8838556721422254,48859,0.7383124177994018,,,
140,0.8555222727856281,0.8862448968313483,49208,0.750915648393924,,,
141,0.8554883652702792,0.8854556807815857,49557,0.7506954030701513,,,
142,0.8479335186306018,0.8842258180110023,49906,0.7406016571459126,,,
143,0.8436626381142439,0.8826512115391071,50255,0.7348258846060766,,,
144,,,50604,,0.890532540802907,0.8285093821487021,0.7180061995751243
144,0.8457264615778549,0.8830856716735314,50604,0.7375331744087816,,,
145,0.8490453092612414,0.8846392918452832,50953,0.7421194388310776,,,
146,0.8425389644836024,0.8836859891612754,51302,0.7336642183220596,,,
147,0.8412183303802987,0.882064863057396,51651,0.731641329871216,,,
148,0.8476976528322054,0.8843835868944752,52000,0.7403331262437601,,,
149,,,52349,,0.90007713997718,0.8581290653347639,0.7570565250174074
149,0.8561937591206409,0.8869330507294837,52349,0.7519533561295502,,,
150,0.8556573924594332,0.8875310509799201,52698,0.7513930347456586,,,
151,0.8486930445329864,0.8850382720160278,53047,0.7417725732517985,,,
152,0.8548909477376861,0.887057219671998,53396,0.7502465213705153,,,
153,0.8538081186298592,0.8873309378637624,53745,0.7488968427044903,,,
154,,,54094,,0.9008993016611218,0.8672098203620212,0.7691654146770427
154,0.8488174766614899,0.8832505671547612,54094,0.7414736215953895,,,
155,0.8487663155751225,0.8847253138151413,54443,0.7417796754360072,,,
156,0.8549998061863259,0.8870139572886818,54792,0.7504007639268111,,,
157,0.8524806854862915,0.8859261673979225,55141,0.7468574659805407,,,
158,0.8463822556884333,0.8835654709605568,55490,0.7384299367009115,,,
159,,,55839,,0.8985346425877926,0.8526944604262735,0.7497783013928342
159,0.8497995568396083,0.8862619482002148,55839,0.7434934360841368,,,
160,0.8478273238811426,0.8842555486028719,56188,0.7404809725386509,,,
161,0.8531648478322165,0.8876014643890466,56537,0.7481694324510971,,,
162,0.8568879315211578,0.8875081846570557,56886,0.7529866346715973,,,
163,0.8487260965435532,0.8851945325091779,57235,0.7418939751664899,,,
164,,,57584,,0.8927402307491478,0.8358606412777693,0.7276978885879232
164,0.854967664491586,0.8862151662394787,57584,0.7501850468482435,,,
165,0.8536157297880879,0.886190682222645,57933,0.7483901856138426,,,
166,0.8547686887062559,0.8870325826300589,58282,0.7500749234933949,,,
167,0.8515069093590152,0.8857501666662002,58631,0.745542038662706,,,
168,0.855733776110824,0.8875441674175097,58980,0.7514774234770855,,,
169,,,59329,,0.8979795852510042,0.8558429761153371,0.7538591825331108
169,0.8562121817334457,0.8869182947371954,59329,0.7519620465320983,,,
170,0.8451240524594218,0.8843964847247715,59678,0.7371341386012601,,,
