train_mIoU,train_OA,epoch,step,train_F1,val_mIoU,val_F1,val_OA
0.44030718671589025,0.7740266466550635,25,9073,0.7954640242069717,,,
0.4401470967409316,0.773738740849973,26,9422,0.7952805505373738,,,
0.4497651940898935,0.7840320401342002,27,9771,0.8056379626284956,,,
0.45037351589562213,0.7847323704585645,28,10120,0.8062856600978148,,,
,,29,10469,,0.3516477367920547,0.6803317838310435,0.6981151316425577
0.45196206529707855,0.7859537731269026,29,10469,0.8079800853525959,,,
0.3344883215273462,0.7797643885571498,30,10818,0.8016009641084274,,,
0.44625634603708303,0.7805410565482852,31,11167,0.8018799566412103,,,
0.4525264888239571,0.7863850415948468,32,11516,0.8085610074702096,,,
0.45143367639563664,0.7856703050498633,33,11865,0.8074092045593022,,,
,,34,12214,,0.2353410544692259,0.5215412383846949,0.5045102563234831
0.33618760431151606,0.7822678355569483,34,12214,0.8040088207623306,,,
0.4495354224755131,0.7835098966144899,35,12563,0.8053756360071569,,,
0.4542104601955623,0.7887364035007945,36,12912,0.8103464622353087,,,
0.44800604515126513,0.781904925589575,37,13261,0.8037472510279551,,,
0.454945199261443,0.7891028986277756,38,13610,0.8111340683685138,,,
,,39,13959,,0.13535235773854218,0.31729349275478974,0.3604981073058472
0.4537852308539114,0.7878427150256312,39,13959,0.8099003425299476,,,
0.44858029602296656,0.782709793921528,40,14308,0.8043818919131936,,,
0.45380701522016675,0.7879252174180693,41,14657,0.8099077542947144,,,
0.4598277428970314,0.7936819562939312,42,15006,0.8162631324128014,,,
0.45696962097874017,0.7910818848705564,43,15355,0.8132386418127651,,,
,,44,15704,,0.21658492367369328,0.47315840973740175,0.5130657535968433
0.4577798122206869,0.7919060125050366,44,15704,0.8141217850968154,,,
0.455100408071365,0.7891113587300209,45,16053,0.8112977702688577,,,
0.45795887279803277,0.79247119980077,46,16402,0.8142928308816391,,,
0.4538795830491937,0.7878682483574722,47,16751,0.8099877715215712,,,
0.45732277972773067,0.7915059830192849,48,17100,0.5424304267087529,,,
,,49,17449,,0.19570035242828274,0.4478536640218135,0.45425611439317687
0.45897891707114796,0.7933155267491381,49,17449,0.8153635943174761,,,
0.34097498720450437,0.7887979633145481,50,17798,0.8107840226984997,,,
0.45773601417034593,0.7918154872249394,51,18147,0.5427024567066313,,,
0.46090795740541135,0.795492374452957,52,18496,0.8174053608214014,,,
0.4587467296246543,0.7931787004443498,53,18845,0.8151174997892174,,,
