train_OA,train_F1,train_R2,step,epoch,train_mIoU
0.4641474783420563,0.3233288824558258,0.15998722612857819,348,0,0.15923655033111572
0.4737221896648407,0.4846556782722473,0.22965191304683685,697,1,0.2134627103805542
0.46928977966308594,0.47784119844436646,0.22428256273269653,1046,2,0.21008260548114777
0.4674336612224579,0.47957679629325867,0.22424405813217163,1395,3,0.21038635075092316
0.47665488719940186,0.4888169467449188,0.23307093977928162,1744,4,0.21578262746334076
0.46750545501708984,0.4803656041622162,0.22465622425079346,2093,5,0.21073800325393677
0.4722542464733124,0.48445239663124084,0.22885911166667938,2442,6,0.21310436725616455
0.47343969345092773,0.4798557162284851,0.22720332443714142,2791,7,0.21160133183002472
0.47052785754203796,0.47720053791999817,0.22455841302871704,3140,8,0.2099306881427765
0.47738954424858093,0.4698345959186554,0.22432266175746918,3489,9,0.20841674506664276
