train_OA,epoch,step,train_F1,train_mIoU,val_mIoU,val_F1,val_OA
0.8342480809777376,91,32107,0.5900982700088367,0.5098365103829555,,,
0.8337898800912763,92,32456,0.5926348120456771,0.5107943511811754,,,
0.8372707421595181,93,32805,0.613056515425177,0.5236579575382821,,,
,94,33154,,,0.4961281589426732,0.850012827549316,0.834732659972539
0.8338979595370141,94,33154,0.5812372680721466,0.5050325338928235,,,
0.8324969053951579,95,33503,0.5735052228531864,0.5005906175388833,,,
0.8370844231635587,96,33852,0.5773667588349095,0.5054201904692573,,,
0.8359230063364634,97,34201,0.5825861201937766,0.5072245512835946,,,
0.8367152173061424,98,34550,0.5823723943970052,0.5076221184491158,,,
,99,34899,,,0.47998113360724787,0.5556775374191392,0.8198912969910259
0.8372709826275406,99,34899,0.5735718832999873,0.5034640634396369,,,
0.8345267396943274,100,35248,0.5717641325061043,0.5006995317778887,,,
0.8371004470781472,101,35597,0.5739266950358621,0.5040130662349481,,,
0.8357175373416232,102,35946,0.573010122878168,0.5026134188508453,,,
0.8367806464689849,103,36295,0.5734407246476732,0.5032822945850337,,,
,104,36644,,,0.45329623663527707,0.5355436030381057,0.8022337054262054
0.8359982946882274,104,36644,0.5732250529862318,0.5029508353464655,,,
0.836681486200808,105,36993,0.5736625861803999,0.5036272668908771,,,
0.8374611928333183,106,37342,0.5738546784702189,0.5039058543256955,,,
0.8380304462247044,107,37691,0.57454059162905,0.5049442291183838,,,
0.8380233852091353,108,38040,0.5746268266481662,0.5050694851493261,,,
,109,38389,,,0.4902603212486021,0.5627602735857714,0.8311312835995501
0.8372657579132341,109,38389,0.5737551198680971,0.5037275706391166,,,
0.8375343606943386,110,38738,0.5740995326832449,0.5042542705786036,,,
0.839463985410324,111,39087,0.5754470635653215,0.5063344764911094,,,
0.8396202896249327,112,39436,0.575511575529911,0.5063564450237736,,,
0.8378000341377148,113,39785,0.5744334910331008,0.5046738642102598,,,
,114,40134,,,0.48810194361422354,0.5609181825228483,0.8294636943552741
0.8392222276048195,114,40134,0.5753945670672533,0.5062413494406367,,,
0.8413398983143803,115,40483,0.5764676883494454,0.5077946469149669,,,
0.8417414799119134,116,40832,0.577345298590913,0.5088716705991322,,,
0.8412096083676575,117,41181,0.5769049546867135,0.5083490445630733,,,
0.8426263147917038,118,41530,0.5776408162869607,0.5094132069621017,,,
,119,41879,,,0.4964058870933414,0.5669579976590536,0.8351006838354721
0.8413945938591286,119,41879,0.5773321368627559,0.5083342483648612,,,
0.8425354178792083,120,42228,0.5778581332518263,0.5095072778387525,,,
0.8418990739095517,121,42577,0.5774523240788559,0.509027426389497,,,
0.8415809128550881,122,42926,0.5773357968415489,0.5086506158218222,,,
0.8435326169076826,123,43275,0.5787951245443521,0.5109744032228335,,,
,124,43624,,,0.49711205503830563,0.567392489305287,0.8339274189259733
0.8405436212490485,124,43624,0.5763584973482135,0.507237647472304,,,
0.8430539325178522,125,43973,0.578386100201564,0.5104464956026694,,,
0.8439294110054955,126,44322,0.5790682314421826,0.5114038751384281,,,
0.8419763515876835,127,44671,0.5776237672539474,0.5088770475873118,,,
0.8441656380464831,128,45020,0.5791008986988042,0.5111513154733792,,,
,129,45369,,,0.4923070783875971,0.5648454024834105,0.8313223961556299
0.8424667096069685,129,45369,0.5788744363186032,0.5102843055182654,,,
0.8445841617092361,130,45718,0.580413112112207,0.512342665022679,,,
0.8432004649864567,131,46067,0.5798806941731761,0.5111809270292116,,,
0.8443055685748342,132,46416,0.5805618851475219,0.5124019564783605,,,
0.8444278137731688,133,46765,0.5800645897482757,0.5119662417830608,,,
,134,47114,,,0.4928953805850673,0.5648624365605559,0.831615334690206
0.8460822774892549,134,47114,0.5824528595724655,0.51435886312833,,,
0.8457974321862687,135,47463,0.581421225559193,0.5136435775531133,,,
0.8446326488068587,136,47812,0.5814066826161018,0.5127739397232004,,,
0.8435941548607068,137,48161,0.5800917512051198,0.5115708669553007,,,
0.8452895200013429,138,48510,0.5817368892011247,0.5136021364172783,,,
,139,48859,,,0.46436132946360237,0.5472932811997318,0.7984807987024276
0.8460793481515265,139,48859,0.582467110991436,0.5146553129021175,,,
0.8463752112620879,140,49208,0.5838971228429636,0.5155151647289132,,,
0.8468092560426552,141,49557,0.5856024572833373,0.516471839105858,,,
0.8477856217960914,142,49906,0.5868129145919984,0.5178728382913459,,,
0.8454812604581727,143,50255,0.584875612001268,0.5153108488120769,,,
,144,50604,,,0.48352281362498345,0.5600057142562694,0.8253190446608124
0.8465884626765646,144,50604,0.5872364006472991,0.5173294511106942,,,
0.8466700250576422,145,50953,0.5867258968288752,0.5170080415437588,,,
0.8479723561459078,146,51302,0.5871458654320035,0.5179109523069667,,,
0.8467267099287583,147,51651,0.5882302885324818,0.5178858305269518,,,
0.8475005141643533,148,52000,0.5884880991261275,0.5183582094707334,,,
,149,52349,,,0.4965418911438699,0.5706995695452038,0.8331690117864312
0.8483151979637691,149,52349,0.5929497481043168,0.5214065256040787,,,
0.8486689264248297,150,52698,0.5968950390248192,0.5237629812673888,,,
0.8478357047269541,151,53047,0.5962274068717658,0.5227072797148805,,,
0.8496767279070222,152,53396,0.6029640871537912,0.527099042337191,,,
0.8517809542680537,153,53745,0.6244663334036707,0.5398718420177838,,,
,154,54094,,,0.47651934094572557,0.5840665001149336,0.8000662019937332
0.8522744820930895,154,54094,0.6666744502108374,0.5645124922836277,,,
0.8613759125542845,155,54443,0.741081339516516,0.46722299445646076,,,
0.867325288176878,156,54792,0.7910852400174182,0.5033810322624026,,,
0.8677635957996619,157,55141,0.7942697048158118,0.6745203916338527,,,
0.8681539409823266,158,55490,0.7953281596711875,0.6755741102752939,,,
,159,55839,,,0.5480855272162798,0.6608261080213792,0.8337137958790983
