train_mIoU,train_OA,train_F1,step,epoch,train_R2
0.005899294494964544,0.4633881401094755,0.3048124390720694,698,0,0.15381959570359144
0.21077479963418164,0.4698088595454443,0.47952572660926085,1397,1,0.2253326434937653
0.21114961127125356,0.4690615281526622,0.4807388190553991,2096,2,0.22556426466984525
0.21056393901977585,0.46855495381935125,0.4796015985534289,2795,3,0.22478071904182936
