train_mIoU,epoch,train_F1,step,train_OA
0.17638709162144128,0,0.26917540877104446,559,0.48000505070063504
0.22915492415243793,1,0.3776589421428989,1119,0.563542826531399
0.2798805898296961,2,0.46003752951727145,1679,0.6000591646423767
0.3267865548236641,3,0.5278762712096069,2239,0.6301709933024852
0.34631689524800335,4,0.5528318771221913,2799,0.6439720842024697
0.36230145324705343,5,0.5713292951182615,3359,0.6636081779756924
