epoch,train_OA,step,train_F1,train_mIoU
0,0.47662795102357175,348,0.3247196990104954,0.21502876516103786
1,0.47955897202806,697,0.3287513132758651,0.16120074736958176
2,0.48041352979774793,1046,0.33174675356337013,0.16224959151994559
3,0.4801886921967339,1395,0.32666751881088535,0.16071758442544673
