epoch,step,train_mIoU,train_R2,train_F1,train_OA
0,348,0.15860897302627563,0.16128115355968475,0.32096660137176514,0.46855390071868896
1,697,0.2197660505771637,0.23977822065353394,0.49561402201652527,0.4836560785770416
2,1046,0.21486830711364746,0.16566336154937744,0.3247404992580414,0.4752581715583801
