train_OA,epoch,train_F1,step,train_mIoU,val_F1,val_OA,val_mIoU
0.4722406119535167,0,0.2979840592338863,348,0.14900435715203864,,,
0.48105066075365993,1,0.3248203739875164,697,0.12026629805812733,,,
0.4815750559284898,2,0.32506097579889887,1046,0.1605303421098622,,,
0.4790078193205475,3,0.32387587330205075,1395,0.15967068106021845,,,
,4,,1744,,0.24698985242943172,0.3279814767365403,0.10933038450964695
0.4810231599561805,4,0.3248015068734744,1744,0.16034408455577917,,,
0.48266925101293867,5,0.32554311327362817,2093,0.12066782596832426,,,
0.48295433678394734,6,0.3256717934246281,2442,0.16098517837950646,,,
0.47969968954266645,7,0.6483743869554074,2791,0.15989989651422218,,,
0.48190231104634884,8,0.6503833720403405,3140,0.1606341036821163,,,
,9,,3489,,0.49389407075412395,0.32792784435914246,0.08198196108978574
0.4785982366960847,9,0.6473675773092907,3489,0.119649574867783,,,
0.4806689724198043,10,0.6492602205014353,3838,0.120167524188571,,,
0.47915120384413046,11,0.3239384591203532,4187,0.15971761395901587,,,
0.47928302404190537,12,0.6479936783595891,4536,0.15976100801396848,,,
0.482059336665025,13,0.6505263652260639,4885,0.16068644555500836,,,
,14,,5234,,0.49394958554885704,0.32797679334583796,0.10932559778194617
0.4813342599950751,14,0.6498658310875433,5234,0.16044475333169175,,,
0.4781033753665606,15,0.646914665556452,5583,0.15936779178885357,,,
0.4782529246158107,16,0.6470515520746978,5932,0.1594176415386036,,,
0.47884515363370783,17,0.6475933635879664,6281,0.15961505121123598,,,
0.4786351813286286,18,0.6474013162578083,6630,0.15954506044287622,,,
,19,,6979,,0.49394958554885704,0.32797679334583796,0.10932559778194617
0.4792306020130058,19,0.64794576499546,6979,0.1597435340043353,,,
0.4785914598699968,20,0.6473613203637417,7328,0.15953048662333227,,,
0.4787708927362217,21,0.6475254484490632,7677,0.1595902975787406,,,
0.48073739650256303,22,0.6493216118375126,8026,0.1602457988341877,,,
0.48167111197310386,23,0.6501727786697207,8375,0.160557037324368,,,
,24,,8724,,0.49394958554885704,0.32797679334583796,0.10932559778194617
0.4804370956639505,24,0.6490476320420528,8724,0.1601456985546502,,,
0.4819755226288278,25,0.6504500449155426,9073,0.16065850754294264,,,
0.4790849876950326,26,0.6478126567177538,9422,0.1596949958983442,,,
0.48169275409512663,27,0.6501924947177024,9771,0.16056425136504224,,,
0.4799219694383506,28,0.6485773971184268,10120,0.15997398981278355,,,
,29,,10469,,0.49394958554885704,0.32797679334583796,0.10932559778194617
0.47992096384480204,29,0.6485764788384076,10469,0.15997365461493404,,,
0.4784913158690006,30,0.64726970085416,10818,0.1594971052896669,,,
0.4806882754437902,31,0.6492768037887231,11167,0.1602294251479301,,,
0.48019509739042343,32,0.6488267637651349,11516,0.1600650324634745,,,
0.4775417950911644,33,0.6464003883716875,11865,0.1591805983637215,,,
,34,,12214,,0.49394958554885704,0.32797679334583796,0.10932559778194617
0.4790115356445312,34,0.6477455031285948,12214,0.1596705118815104,,,
0.4792095501306746,35,0.32718906980886636,12563,0.1606710675596224,,,
0.4752611745052829,36,0.4637018674825357,12912,0.2056821745642566,,,
0.4867608144153496,37,0.4386049759175409,13261,0.19845687601296413,,,
0.46994412047815176,38,0.43988610015843255,13610,0.19568708669723756,,,
,39,,13959,,0.4487677116380172,0.5310421178836625,0.21114561420492484
0.4680360067198132,39,0.4329871965098768,13959,0.19274390334670502,,,
0.4682090999745365,40,0.4150729496217572,14308,0.186434947112786,,,
0.4744659904764169,41,0.4138979639535976,14657,0.18723697124159178,,,
0.4755139938398213,42,0.4084808942792183,15006,0.18559736983764577,,,
0.4769808487769184,43,0.4063348211819934,15355,0.18517409480944977,,,
,44,,15704,,0.5473819654397076,0.5988784638961934,0.26453221018783746
0.4780406787948826,44,0.4026537405606271,15704,0.18411295014918724,,,
0.4821140322097734,45,0.40707658375829187,16053,0.18639956422360748,,,
0.48364896145796016,46,0.41299794703231735,16402,0.1887210622017055,,,
0.4904453310378984,47,0.4273007960234297,16751,0.1951321968288647,,,
0.4992058215646825,48,0.44886594766683674,17100,0.2045635317265925,,,
,49,,17449,,0.6440247954841423,0.6586840034711469,0.32426358555506135
0.5147715134060484,49,0.49183154516008154,17449,0.224140616243984,,,
0.5287994341044165,50,0.3557128513476631,17798,0.1831864115019105,,,
0.46768258430896303,51,0.3226146966306436,18147,0.15703572237828556,,,
0.4682164233188574,52,0.3246732022357178,18496,0.15773884270703087,,,
0.4675246186789263,53,0.32560032709040154,18845,0.15787076465485406,,,
,54,,19194,,0.386454666747449,0.5971817167678672,0.20301639699122187
0.46645958580738484,54,0.32635607880091255,19194,0.1578772909858614,,,
0.4660144794977838,55,0.32920565503730936,19543,0.15861359789102908,,,
0.4664926173693812,56,0.3290153470489363,19892,0.1586528559433825,,,
0.46941495966433106,57,0.3281963754293217,20241,0.1590029419961066,,,
0.4673785015641788,58,0.32725339461474756,20590,0.15831802570303993,,,
