train_mIoU,epoch,train_OA,train_F1,step,val_mIoU,val_OA,val_F1
0.15890300391372839,0,0.4721029112195558,0.32061078905356843,348,,,
0.2135961364355484,1,0.47335212073558375,0.48475090629273354,697,,,
0.21331372928483505,2,0.47518077074285897,0.48342883546086635,1046,,,
0.21967169739742023,3,0.4885658548349637,0.49300592165957136,1395,,,
0.21728987424604554,4,0.4808794912431164,0.49061725895724173,1744,,,
0.216147513083451,5,0.4789702188661241,0.48908576075463517,2093,,,
0.21244039791655603,6,0.47451237894402526,0.48133112780199194,2442,,,
0.21240929351036728,7,0.4717365691176799,0.48279290259667285,2791,,,
0.2107872086386652,8,0.46756663500067147,0.4803279008251651,3140,,,
0.21518342411469718,9,0.48029819258987727,0.4854809920406731,3489,,,
0.21450020200333245,10,0.47652929355216905,0.48568085672221717,3838,,,
0.2115002803567948,11,0.4705166967003939,0.48106857372193956,4187,,,
0.22994196513027718,12,0.5008662095384132,0.5123903065947315,4536,,,
0.20826349117583645,13,0.4643308754295195,0.4760671404659232,4885,,,
0.21525523446483597,14,0.4795189668934119,0.48635360051305937,5234,,,
0.21974561761875336,15,0.4836601760120992,0.49537829597165756,5583,,,
0.21019113445871287,16,0.47085092539090473,0.47742958552072023,5932,,,
0.2106357416533755,17,0.4693695549295419,0.4794075166793105,6281,,,
0.216500600688042,18,0.48296211920358384,0.487879751264282,6630,,,
0.21265822924736177,19,0.47651060262860395,0.48136939261568146,6979,,,
0.21510237048341785,20,0.48095458284831655,0.48508148563360476,7328,,,
0.21365244556108742,21,0.47914777170962786,0.48241493530380564,7677,,,
0.21157314365827365,22,0.48113539294048835,0.47609211531616324,8026,,,
0.20441771465844752,23,0.4677644746009804,0.46423834540457054,8375,,,
0.20590202353948692,24,0.4709964085445021,0.4665768151023794,8724,,,
0.21485308902933373,25,0.4767063435988986,0.4864824707995724,9073,,,
0.20030702967200234,26,0.4758883588293561,0.44921488605026794,9422,,,
0.21185542918371061,27,0.4845530775010073,0.47539353879876084,9771,,,
0.22317664297105932,28,0.4883459796195043,0.5015801180075932,10120,,,
0.21014936517724572,29,0.47749883875805865,0.4743234371610079,10469,,,
0.21567967962630816,30,0.48177188993525016,0.4862448392411576,10818,,,
0.2141819988246824,31,0.4831209155413345,0.4819030916965379,11167,,,
0.2179416982980474,32,0.484578042453886,0.4907895751126028,11516,,,
0.2117700135086437,33,0.47328148871916403,0.4805464950662517,11865,,,
0.19911956229053696,34,0.4759056725269743,0.4460489654813238,12214,,,
0.20503640769952813,35,0.47005268085993457,0.46492089838705675,12563,,,
0.20985709271759945,36,0.4699417376586564,0.4770355117558157,12912,,,
0.21152220347439107,37,0.4792699731865038,0.47704254921221534,13261,,,
0.19781626508311334,38,0.46490891683409064,0.44802088467010337,13610,,,
,39,,,13959,0.29232845734311097,0.5892536427715028,0.6096556490689542
0.20817649137606498,39,0.492881796763073,0.4621211666393335,13959,,,
0.2268338645488289,40,0.49540577098769917,0.5073830342779073,14308,,,
0.19928872665094008,41,0.46939559105815715,0.4501443101583885,14657,,,
0.2065160663916866,42,0.4767300187687477,0.46539224767964943,15006,,,
0.21287287123309792,43,0.47385047978179834,0.4829474832290725,15355,,,
0.21772872386156505,44,0.48200901326613976,0.49105618943420315,15704,,,
0.21682106728494036,45,0.4824382486862575,0.4886403146439642,16053,,,
0.2362413969429112,46,0.5105738161628088,0.523131885916603,16402,,,
0.21525645208407176,47,0.4776826000486881,0.48707039594295265,16751,,,
0.2094286120703379,48,0.4873119671228621,0.4677915490108008,17100,,,
0.21396994254281423,49,0.48387073855687,0.48112330451964136,17449,,,
0.21415255549771894,50,0.4849327327870365,0.48152433873835065,17798,,,
0.2090366136881098,51,0.4797936250965369,0.470270276089654,18147,,,
0.20975829126528409,52,0.46816896367551253,0.4779942299801314,18496,,,
0.21056819523026862,53,0.47218875830357937,0.47783448379157367,18845,,,
0.21275005497834446,54,0.4714610364853823,0.48379300130055575,19194,,,
0.2165315330815607,55,0.4966445747965727,0.48168625542901705,19543,,,
0.20287257202344655,56,0.46743396223445327,0.4605356003652355,19892,,,
0.21169196312270785,57,0.4867332043142236,0.47396841223684866,20241,,,
0.21647594991227348,58,0.4830518793581549,0.4876554940685787,20590,,,
0.21959679970041848,59,0.48305264448368096,0.4950704158318775,20939,,,
0.2130889470616936,60,0.47779809028166403,0.481842921495529,21288,,,
0.2240393969465304,61,0.4913043702570961,0.5023292605656946,21637,,,
0.2274302312644534,62,0.5010206337303008,0.506472317638465,21986,,,
0.22141859449519719,63,0.49661917262910765,0.4937984369644305,22335,,,
0.22244377266046444,64,0.49017572266324533,0.49924350519950556,22684,,,
0.22409221122699444,65,0.4932026466872425,0.501559536508382,23033,,,
0.23481755104145044,66,0.508344109215504,0.5203928719587013,23382,,,
0.22041982910243732,67,0.4878897243379521,0.49532251866133065,23731,,,
0.22681412654002253,68,0.4951179963469846,0.5076112121585283,24080,,,
0.22563812315407117,69,0.4950034461253693,0.5046127499493611,24429,,,
0.2348954535554039,70,0.5077676417834437,0.5208117803424372,24778,,,
0.2296886885195487,71,0.502298371498086,0.5113023994485533,25127,,,
0.22614669040190769,72,0.49358748296611965,0.5064435803532253,25476,,,
0.21137407068183187,73,0.49244956642303894,0.47020787553149346,25825,,,
0.22607657301645645,74,0.49376361486221787,0.5062921697816442,26174,,,
0.20504739083613963,75,0.4794690588483837,0.46041850116945154,26523,,,
0.20157261795229323,76,0.48595111486221787,0.44783162587990966,26872,,,
0.22457978039876028,77,0.4944391113980793,0.5023753336578546,27221,,,
