train_mIoU,epoch,train_F1,step,train_OA,val_F1,val_mIoU,val_OA
0.36854763198897755,96,0.7119198077122382,33852,0.6943071687802201,,,
0.37423835577241915,97,0.7189995166263428,34201,0.7009051959630752,,,
0.36884840159411,98,0.7122304339169023,34550,0.6952141267180784,,,
,99,,34899,,0.6873011990261534,0.357009613007547,0.7128570858794853
0.3761316936410288,99,0.7213479183729785,34899,0.7028656005859374,,,
0.37089490507133943,100,0.7148051867141059,35248,0.6973494827576557,,,
0.36723542846445784,101,0.7103229700962719,35597,0.6924402843573714,,,
0.3716820265930971,102,0.7158089893318809,35946,0.6982818865844376,,,
0.37447065295990606,103,0.7192614813849487,36295,0.7014077959907771,,,
0.3685982254267562,104,0.7119822544037815,36644,0.694593784802281,,,
0.3734187813675572,105,0.7179163569120526,36993,0.7005893302851897,,,
0.3662604625987756,106,0.7090830561515333,37342,0.6916774760686223,,,
0.3729817121940182,107,0.717413642853029,37691,0.6997782097846524,,,
0.3736967480049407,108,0.7183144474766299,38040,0.700560495983222,,,
,109,,38389,,0.7587824416380727,0.4118560520097965,0.759351069384281
0.36881708704421384,109,0.712261336201751,38389,0.6949174547605322,,,
0.37286021603138836,110,0.7172589663361154,38738,0.699699707905679,,,
0.36866403075791015,111,0.7120039394807006,39087,0.695030168680885,,,
0.37757569116640965,112,0.7230437166767443,39436,0.7056505919185955,,,
0.3704233794309432,113,0.7142129469063478,39785,0.6969796647998185,,,
0.37384552233141255,114,0.4790098284901883,40134,0.700595298264293,,,
0.3723849833832881,115,0.7167141380231565,40483,0.6986903980331638,,,
0.38028376197542696,116,0.7264239977173246,40832,0.7080643006245522,,,
0.3699118443487654,117,0.7135927625978041,41181,0.6966101310314625,,,
0.37016453152545187,118,0.7139541315130622,41530,0.6963189898384333,,,
,119,,41879,,0.804989463565331,0.4516722084478045,0.7868238392442748
0.37397688016678865,119,0.7186471789517062,41879,0.7010247741524331,,,
0.3687480861077401,120,0.7122011097153045,42228,0.6945660653975084,,,
0.376703061769816,121,0.7220314484804911,42577,0.7039077452738851,,,
0.3723668483448351,122,0.716670649407865,42926,0.6991326405872246,,,
0.3752829290760708,123,0.720262253896601,43275,0.7025334923861702,,,
0.37224093272565173,124,0.47768734100834137,43624,0.6986627442105792,,,
0.3785759921035779,125,0.7243296819619831,43973,0.7061345884656495,,,
0.3739939909612538,126,0.7186991209800477,44322,0.7006205255459235,,,
0.3756153239918345,127,0.720649947322926,44671,0.7025778259452229,,,
0.37662299297807755,128,0.7218588326171842,45020,0.7044075471282346,,,
,129,,45369,,0.7657369459126223,0.4189551496015893,0.7674105804745501
0.3727419753817634,129,0.7171473590646791,45369,0.6992939509088466,,,
0.37562428203097925,130,0.7206917140265563,45718,0.7026472119000715,,,
0.3731487134616614,131,0.47841766249542683,46067,0.699882529184948,,,
0.3760721629880943,132,0.7212019431669294,46416,0.7035444636741134,,,
0.3667177280700859,133,0.7096198515957233,46765,0.6925577857774444,,,
0.37674929541857577,134,0.7220928193230209,47114,0.7039422852262042,,,
0.3723559368657596,135,0.7166378262738791,47463,0.6990356008097912,,,
0.37503730972263255,136,0.7199861622873902,47812,0.7021724187200594,,,
0.37858045292283027,137,0.724301489783632,48161,0.7065341151546269,,,
0.37653474907394374,138,0.7217653001414732,48510,0.704533180739613,,,
,139,,48859,,0.72828984489985,0.3903862261936637,0.7450816843769327
0.3769761113796466,139,0.7223427447443056,48859,0.7047233909453907,,,
0.37205263931340005,140,0.7162419455092616,49208,0.6989109946526906,,,
0.37886194217567654,141,0.7246451807758275,49557,0.7068433351708003,,,
0.3765822199909177,142,0.4812411047275334,49906,0.7039944012048933,,,
0.3762999562673179,143,0.7214802933057862,50255,0.7039140848853868,,,
0.3752482089921954,144,0.7202179926106838,50604,0.7024587724133684,,,
0.37652397719191183,145,0.7217317734382214,50953,0.7043503594603442,,,
0.3734816287416572,146,0.7180238922306823,51302,0.700397874017841,,,
0.37655288050412095,147,0.7218233315738405,51651,0.7038421193644787,,,
0.3806145132935816,148,0.48453481340830634,52000,0.708656092427863,,,
,149,,52349,,0.7786313630386875,0.4285990291122876,0.7736758996944605
0.3756895886274907,149,0.4805107860018212,52349,0.7029632743245209,,,
0.37242318070569685,150,0.7166969323845306,52698,0.6996310214941684,,,
0.378369650104515,151,0.48269469265981996,53047,0.706230950560474,,,
0.3773177187238237,152,0.7227879336646202,53396,0.7046560598990977,,,
0.37908516228224,153,0.7249578759168915,53745,0.7067447214208563,,,
0.37497408197489585,154,0.4799639983306568,54094,0.7014615952456236,,,
0.37767679618249383,155,0.7232118626641011,54443,0.7053394918797008,,,
0.37692182516261336,156,0.7222647036185761,54792,0.7043470803509468,,,
0.3799404725941066,157,0.7259566657236025,55141,0.7078720792316775,,,
0.37830526023011685,158,0.7239489406972381,55490,0.7061304567878088,,,
,159,,55839,,0.7863398911273463,0.4343036416845818,0.7663988170057229
0.3785288066391994,159,0.7242224879937269,55839,0.7063554692746574,,,
0.3778248815103547,160,0.7233657987461307,56188,0.7055197554536398,,,
0.3780149652502988,161,0.7236399658441233,56537,0.7053622488989186,,,
0.38206217297804584,162,0.4857254480694246,56886,0.710020945201972,,,
0.3721645675664687,163,0.4776038493416534,57235,0.6988117250808671,,,
0.3774707018027568,164,0.7229415509960105,57584,0.7051128398381535,,,
0.3825443651215938,165,0.4860925986265092,57933,0.711128300445469,,,
0.3753244337649266,166,0.48021112110376746,58282,0.7025579326815454,,,
0.37740615824105167,167,0.7228770994021456,58631,0.7048939483555134,,,
0.3759815137916241,168,0.7210844272613104,58980,0.7035349323961317,,,
,169,,59329,,0.7946298747332876,0.44345549901891773,0.7853473625560786
0.3734084259986579,169,0.7179935085432827,59329,0.6996051383906584,,,
0.37632175384570293,170,0.7215197724916358,59678,0.7036371094449542,,,
0.3793575963288685,171,0.7253009532659811,60027,0.7069412493774063,,,
0.3811738878035605,172,0.7274575482451872,60376,0.709483870804139,,,
0.3774303902138258,173,0.7229039047849075,60725,0.7049675097096614,,,
0.37589511269116427,174,0.48065833590131907,61074,0.7034337609408577,,,
0.3769172868905941,175,0.7222870915502558,61423,0.7041830155774309,,,
0.37577661829830733,176,0.4805844342890982,61772,0.7028672182799067,,,
0.3798396089927403,177,0.725842054138748,62121,0.7080432268814917,,,
0.3808643601093695,178,0.7271049519584766,62470,0.7087384636559253,,,
,179,,62819,,0.7929783779875129,0.44256606475771143,0.7880992322865087
0.37855963949849336,179,0.724264939272514,62819,0.7063348546069125,,,
0.3793287846570223,180,0.7252219114820795,63168,0.7071238301886528,,,
0.3797712815920917,181,0.7257473199006265,63517,0.7078622419034852,,,
0.37545920983309394,182,0.72047668370756,63866,0.7026636730292464,,,
0.38022033959357787,183,0.7262966487692228,64215,0.7086554584667129,,,
