epoch,train_R2,train_F1,train_OA,train_mIoU,step
0,0.3328950846442477,0.46449285539649465,0.6708476403581566,0.35350031058314607,698
1,0.3783476328429194,0.4950827523394122,0.7152540346071954,0.39005088893972534,1397
2,0.4051637506235707,0.514946833473685,0.738347655202186,0.41236057771658235,2096
3,0.42624198228919485,0.5310918711088632,0.7552651117458533,0.4297862454410099,2795
4,0.4390968504361997,0.5378527543768865,0.7674034893597996,0.44060136054078364,3494
5,0.4375768425562921,0.5389275303780877,0.7646638490952475,0.43961310619100397,4193
6,0.44747926589740206,0.5461985088610084,0.7724155104040927,0.4476132477247316,4892
7,0.44584090742765997,0.5412968026756175,0.7737438764012763,0.4461920256560021,5591
