train_OA,epoch,train_mIoU,step,train_F1
0.47529922054832435,0,0.17462995613709642,559,0.26742341334673664
0.5499338578753735,1,0.2401109483418264,1119,0.40664706636885123
0.5919480746413665,2,0.29202673443616944,1679,0.48339646971072814
0.6238331090083211,3,0.32546670444795556,2239,0.5272432366684261
0.6382541874789691,4,0.3423787712731011,2799,0.5480418952404859
0.6547809175166682,5,0.35897409223955784,3359,0.5682969912835348
0.6812173122324188,6,0.3856663653055222,3919,0.5993069372552297
0.6851051425809769,7,0.3945412991132755,4479,0.6098566868058285
0.6975759613598247,8,0.40650528441744826,5039,0.6222170397917018
0.7028046156936388,9,0.41326417455343334,5599,0.5512343001192367
0.7142162487063521,10,0.4253682379935193,6159,0.5624019340352198
0.7288295004069334,11,0.43758413574354693,6719,0.5734501827078666
0.7361214877713447,12,0.4469488117073275,7279,0.5821441442510309
