train_mIoU,train_F1,step,train_OA,epoch,val_F1,val_OA,val_mIoU
0.4291367592765155,0.6659831055836745,11167,0.8645584849710107,31,,,
0.5805176744548216,0.6770783578429688,11516,0.8668706943107538,32,,,
0.5924541270788554,0.6929302169580448,11865,0.8697027299328997,33,,,
,,12214,,34,0.7100273481528377,0.8712703591526131,0.6019996515832012
0.5957068110903633,0.6975249363485968,12214,0.870049725289331,34,,,
0.6021952876420115,0.7049685328726687,12563,0.8723329035805425,35,,,
0.6046328762969957,0.7090723472160367,12912,0.871781969480323,36,,,
0.6076201530405388,0.7111652308963782,13261,0.8741549297868351,37,,,
0.6088700070892533,0.712362861901128,13610,0.8747993840870678,38,,,
,,13959,,39,0.7609219829023756,0.8791642897199863,0.6461987837267213
0.6111669089431672,0.7142793814293767,13959,0.8762939802896668,39,,,
0.6202699548331686,0.7252673426265615,14308,0.8783633606481688,40,,,
0.6235665641938573,0.7287458731859826,14657,0.8796014649137042,41,,,
0.6288918213970464,0.7350770644846225,15006,0.8806432816907122,42,,,
0.6293594832837918,0.7357094620476108,15355,0.8806432161085243,43,,,
,,15704,,44,0.7288034440925083,0.853314390276917,0.455530702641465
0.6323669444684974,0.7384386449572418,15704,0.8822533899870163,44,,,
0.6245150226947488,0.7284422937370844,16053,0.8814183538486074,45,,,
0.6404151198108875,0.7473677866816274,16402,0.8841699419868708,46,,,
0.641781460258605,0.748352743504666,16751,0.8851787927840704,47,,,
0.6446229638153941,0.7518217580528216,17100,0.8853567828421605,48,,,
,,17449,,49,0.6864610081689926,0.8644558746035723,0.5804026164768099
0.6473196774319881,0.7547470330843805,17449,0.8860281039787226,49,,,
0.6486426963496509,0.7554165812466044,17798,0.8874866081172209,50,,,
0.6575135050928117,0.7651583790693325,18147,0.8889616389670821,51,,,
0.6544240291267888,0.7612222113140575,18496,0.8893157609212704,52,,,
0.6567274695181482,0.7636659354666248,18845,0.8897562983384445,53,,,
,,19194,,54,0.7879872464131266,0.8827325802038198,0.5044966210447823
0.6640984057881973,0.7714891712693421,19194,0.8912437898040158,54,,,
0.6634520587044334,0.7704910396266332,19543,0.8915520479480994,55,,,
0.667392440682277,0.774537312478028,19892,0.8924635310569259,56,,,
0.6723856987576243,0.7796044361650457,20241,0.8935681318485291,57,,,
0.674695112572675,0.7819192745966889,20590,0.8940657039084884,58,,,
,,20939,,59,0.7407758891916963,0.8769732182568829,0.6282636622008528
0.5036051450510456,0.7785183759848388,20939,0.8936059290495163,59,,,
0.5119898428605314,0.7899060050225547,21288,0.895607956500996,60,,,
0.6759908697851204,0.7828726515371646,21637,0.8948871645339921,61,,,
0.6847530376091114,0.7916103468761359,21986,0.8966443955385922,62,,,
0.687511803735413,0.7941105879857576,22335,0.8975889539308738,63,,,
,,22684,,64,0.7138257452336682,0.8726561895691509,0.6053386038040691
0.517290684446601,0.7962040189641325,22684,0.8981679353468055,64,,,
0.6893561249302437,0.7958213400603942,23033,0.898108736491818,65,,,
0.6938979703423517,0.8000989852590874,23382,0.8991565431086586,66,,,
0.6946853258717566,0.8006530019906096,23731,0.8996108965067603,67,,,
0.6933064822920553,0.799604517612201,24080,0.8988718726915068,68,,,
,,24429,,69,0.7297261774158831,0.8728241873259578,0.6174410863974628
0.6898811925389866,0.7962057747594457,24429,0.8983552817970427,69,,,
0.6982064445659756,0.8036127354971292,24778,0.9010107264477748,70,,,
0.7036582571687408,0.8087442392133575,25127,0.9020613093772384,71,,,
0.7060588244225326,0.8108915034526771,25476,0.9026794214986456,72,,,
0.7061932824697349,0.8108706208357987,25825,0.9030214107480635,73,,,
,,26174,,74,0.7897902704531425,0.8847039855352709,0.5062486552971726
0.7111162380783363,0.8155208471262663,26174,0.903728124405388,74,,,
0.712853594285304,0.8170915239334856,26523,0.9040056463640535,75,,,
0.7157711264778045,0.8196676209767864,26872,0.9047094744051082,76,,,
0.7169707083575817,0.8205894721759578,27221,0.9052313118746081,77,,,
0.5393323648397539,0.8224356203830582,27570,0.9057839948331727,78,,,
,,27919,,79,0.7447552547834279,0.8760575398360135,0.630851338009197
0.7272270354058691,0.8295801332140408,27919,0.9072400287092585,79,,,
0.7278589661874372,0.8300425810510564,28268,0.9075614907338488,80,,,
0.7289774198905997,0.8308670866666882,28617,0.9081035056565073,81,,,
0.7292730625238734,0.8311585001829854,28966,0.9080791090825907,82,,,
0.7364977940182135,0.8372761577360818,29315,0.9095760225224971,83,,,
,,29664,,84,0.7807896129857795,0.8816490551032629,0.6646298422107408
0.7343688364471856,0.8353123505522496,29664,0.909532410367512,84,,,
0.7334434732584539,0.8344761413860861,30013,0.9094756817749372,85,,,
0.7421401290134071,0.8418792972996415,30362,0.9109290486420463,86,,,
0.74140077595154,0.8411149266256478,30711,0.9111584551354874,87,,,
0.7392625217317716,0.8392436051192661,31060,0.9109829572005393,88,,,
,,31409,,89,0.7981731203927677,0.884379925114092,0.683241797620817
0.7414145641744289,0.8410077363886214,31409,0.9114492246961182,89,,,
0.7417650962694217,0.8411937878270354,31758,0.9117912358062655,90,,,
0.7491308331182348,0.8473082368816441,32107,0.9130796634706861,91,,,
0.7433834284700257,0.8424461103680517,32456,0.9123590463895168,92,,,
0.7449489149269098,0.8436342383165273,32805,0.9129250862536934,93,,,
,,33154,,94,0.7791366348994425,0.881271664458925,0.6634109371337256
0.7514207530115696,0.848973363557103,33154,0.9140181227194886,94,,,
0.7556914949373521,0.8523983378555373,33503,0.9148597607981508,95,,,
0.7568059630767253,0.853230367132718,33852,0.9152460836066214,96,,,
0.7568846958577141,0.8532500628692121,34201,0.9153816419891093,97,,,
0.7614007914117155,0.8567908964111782,34550,0.9163538323432462,98,,,
,,34899,,99,0.7774136605202157,0.8808492528329968,0.6613212182574094
0.7586287485142981,0.8545104852837607,34899,0.916090366833531,99,,,
0.7594247154666697,0.855100621108436,35248,0.9163729386206683,100,,,
0.7646690935218802,0.8592208486617564,35597,0.9173781386760721,101,,,
0.7669712494155799,0.8610141222552583,35946,0.9178056470985739,102,,,
0.7640170375623732,0.8586046310537458,36295,0.9175804160044322,103,,,
,,36644,,104,0.7932253410281346,0.8831111794651131,0.6777985525645084
0.7675709038864834,0.8613418695091425,36644,0.9183520341670955,104,,,
0.7666499718731029,0.8606187964989805,36993,0.9182046272693184,105,,,
0.7665568099161796,0.8607315125349295,37342,0.917597707841321,106,,,
0.769708793284401,0.8628718772709513,37691,0.9191609248732426,107,,,
0.7734162415439877,0.8656586596931128,38040,0.9200560561565408,108,,,
,,38389,,109,0.7800413475524294,0.8780413334912579,0.6625121973611591
0.7745633145311448,0.8665107301785132,38389,0.9203499955229225,109,,,
0.7750020292626694,0.8667697887964051,38738,0.9207211907067065,110,,,
0.7780365339449603,0.86906490093342,39087,0.9212812407310507,111,,,
0.7785894183784333,0.8694821862271711,39436,0.9213813628713174,112,,,
0.7781184325361711,0.8690800674241984,39785,0.9214494590431365,113,,,
,,40134,,114,0.7930184497405599,0.8830735612623749,0.6773346592825126
0.7783739147405063,0.8691935766860106,40134,0.9217866170713757,114,,,
0.779871081467525,0.8703040254892486,40483,0.9221909312600732,115,,,
0.7815386640155401,0.871532420685125,40832,0.9225189515034584,116,,,
0.7830457548286854,0.872642104829637,41181,0.922860153766621,117,,,
0.7847283781980926,0.8738691307540672,41530,0.9232682498614903,118,,,
,,41879,,119,0.8023030648705234,0.8824734829439962,0.686677742967278
0.7847266677296542,0.8737891449478531,41879,0.9235580356893018,119,,,
0.7855728187252256,0.8743788238332355,42228,0.9238958714001498,120,,,
0.791881751642913,0.8790284375584831,42577,0.9250023959359329,121,,,
0.7913480179707256,0.8786239069572367,42926,0.9249586307558424,122,,,
0.7911767627311207,0.8784453753921739,43275,0.9251416050602166,123,,,
,,43624,,124,0.801187139516156,0.8819543819616323,0.6851070346607857
0.7909039034036573,0.8782301522298456,43624,0.9251581973537674,124,,,
0.7914837361058126,0.8786305616274149,43973,0.9253490196599659,125,,,
0.7943609197434433,0.8806634069189919,44322,0.9261402250360963,126,,,
0.7966157027034594,0.8822695522446132,44671,0.9266567284876431,127,,,
0.5969973971841808,0.8818167209136635,45020,0.9265662469290046,128,,,
,,45369,,129,0.7992416235834802,0.8821648323889992,0.6830869581393998
0.797775666811335,0.8830744669114705,45369,0.9270011005565565,129,,,
0.7985518952944345,0.8835616951091235,45718,0.927463804753257,130,,,
0.7965503200421257,0.8820868086300332,46067,0.9271999020289553,131,,,
0.799526727199574,0.8842154771651177,46416,0.9278414488521891,132,,,
0.7996291751442651,0.8842669422227822,46765,0.9279698369154614,133,,,
,,47114,,134,0.8145749795023649,0.886173059444615,0.7008537772519277
0.798863762897807,0.883682239379357,47114,0.9279351876594957,134,,,
0.8007579104531661,0.8850353678552558,47463,0.9282993655491694,135,,,
0.8022009824873475,0.8860231699845135,47812,0.9287534128970606,136,,,
0.8040063033280842,0.887297293123862,48161,0.9291377463791636,137,,,
0.8037774583652717,0.8871103550248002,48510,0.9291939065927761,138,,,
,,48859,,139,0.8128905222491097,0.8831521213644788,0.6980024205923147
0.8046551393062046,0.8876859294599887,48859,0.9295650580551015,139,,,
0.8045557411609267,0.8875950999336496,49208,0.9296344440099501,140,,,
0.8076106103688244,0.889754139617998,49557,0.9302111737707623,141,,,
0.8082226281488823,0.8901696315647741,49906,0.9303773371742925,142,,,
0.8069344254021414,0.8892434714662981,50255,0.9302251209160658,143,,,
,,50604,,144,0.8016124112469495,0.8794457463934856,0.6846546958896814
0.8073453724403702,0.8894910572715723,50604,0.9305124583421941,144,,,
0.8087684014069066,0.8905002978511608,50953,0.9307156100997267,145,,,
0.8085318233003792,0.8902720733053017,51302,0.9310024010076221,146,,,
0.8096469560833733,0.8910592592652272,51651,0.9311460041384982,147,,,
0.810294404176056,0.8914915729268141,52000,0.9313722408261885,148,,,
,,52349,,149,0.8215901666759367,0.8851270014696768,0.708364196561719
0.8102967073186322,0.89147530825581,52349,0.9314433537786532,149,,,
0.8105193989525171,0.891609552621734,52698,0.9315848364187856,150,,,
0.8112638449430638,0.8921203188898916,53047,0.9317647283603262,151,,,
0.8128149670940662,0.8931777039692433,53396,0.9321949693739925,152,,,
0.8118662396366707,0.8924966513338509,53745,0.9321390059069438,153,,,
,,54094,,154,0.813419737674265,0.8822449032622975,0.6983553103671317
0.8139379576476319,0.8939376986251067,54094,0.9325039489221435,154,,,
0.8142261087242945,0.8941424830644125,54443,0.9325021344816102,155,,,
0.8150952451227479,0.894715906970641,54792,0.9328257169969443,156,,,
0.8157285541595852,0.8951493218336051,55141,0.9329618437583944,157,,,
0.8147380090430697,0.894456609672293,55490,0.932794631039857,158,,,
,,55839,,159,0.8110155680739256,0.8815837897876688,0.6954251106816428
0.8155650035642008,0.8950259105274238,55839,0.9329608818863044,159,,,
0.8160741900173631,0.8953597180385692,56188,0.9331444901518288,160,,,
0.8154855194242615,0.89492370552321,56537,0.9331793580150876,161,,,
0.8162450133991759,0.8954378795986223,56886,0.9333704645107672,162,,,
0.817152200981738,0.8960701574723801,57235,0.9335077280301418,163,,,
,,57584,,164,0.797727470910869,0.8773818818649429,0.679909121784059
0.8174727207257607,0.8962897595732088,57584,0.9335714957775563,164,,,
0.816218558232042,0.8953852023813514,57933,0.9335291515448714,165,,,
