train_OA,train_F1,train_mIoU,epoch,step,val_F1,val_mIoU,val_OA
0.6126660672163211,0.6239014287388176,0.30295302445360006,43,15355,,,
0.6262996203578303,0.6376307234445429,0.3127377060111339,44,15704,,,
0.6321498357122469,0.6458466477743958,0.31835234243306587,45,16053,,,
0.6263117749233299,0.638988256875604,0.3135234795920378,46,16402,,,
0.6192959017603308,0.6314150222534795,0.30813593016731017,47,16751,,,
0.638242901908634,0.6525991515925846,0.323199906091128,48,17100,,,
,,,49,17449,0.5857371147854361,0.29622666612621634,0.674201738716351
0.6188735743306768,0.6313228878161357,0.30807388507140443,49,17449,,,
0.6209862389332242,0.6337826894627123,0.3097593338337166,50,17798,,,
0.6217892491031853,0.6339144605669977,0.30991328818164215,51,18147,,,
0.6306901292336362,0.6444056448160195,0.3172925189379336,52,18496,,,
0.6285153801598315,0.6415219590684156,0.31531657464046914,53,18845,,,
0.628171620191339,0.6404089213701425,0.3146421240510138,54,19194,,,
0.6287578812301329,0.6417392495920211,0.3154530308611089,55,19543,,,
0.6231105771652264,0.6353299850226133,0.3109378841543682,56,19892,,,
0.6409481234400183,0.6551716342737424,0.3250968963921604,57,20241,,,
0.6367817744826176,0.6504963599673879,0.3217286058575613,58,20590,,,
,,,59,20939,0.578360493327241,0.27324021102865215,0.5712191137937027
0.6307683469231284,0.6447967073938954,0.31759052543071975,59,20939,,,
0.6247373651979986,0.6373257301925863,0.3123576921796709,60,21288,,,
0.6359275009024108,0.6500296278782035,0.32136552313648076,61,21637,,,
0.637416369593929,0.6521681319163306,0.3228507404232859,62,21986,,,
0.641777060434948,0.6558665518849299,0.3256747819795743,63,22335,,,
0.650422738411365,0.6641089279991279,0.33187952098981816,64,22684,,,
0.6389014126578169,0.6535819359653812,0.32388879977513096,65,23033,,,
0.6404924802588869,0.6533257329650173,0.323965318283282,66,23382,,,
0.6379596742996171,0.6512761526892253,0.32238449048773843,67,23731,,,
0.6449165453541926,0.6593810186399818,0.32819943766632603,68,24080,,,
,,,69,24429,0.538661151007912,0.24595197294679338,0.5222483719929603
0.6489297161812767,0.6632653111046417,0.33114313421233293,69,24429,,,
0.6512520251779638,0.6657394804642727,0.3329849709393243,70,24778,,,
0.6595958064825281,0.674411281476679,0.33949948829916526,71,25127,,,
0.6522569191831571,0.6671092534845156,0.3339712128117099,72,25476,,,
0.6528013606467696,0.6685125083411778,0.3349188395379859,73,25825,,,
0.6510474306122962,0.6663778915089341,0.33335329249308404,74,26174,,,
0.6578294595538031,0.6736631315282975,0.33876296122878363,75,26523,,,
0.6477032199630081,0.6624522186027418,0.3304453489591259,76,26872,,,
0.6584699352013005,0.6747275622367692,0.339542756672786,77,27221,,,
0.6582222094166926,0.673715731989155,0.3388465897640687,78,27570,,,
,,,79,27919,0.4141839229400186,0.20407575774616923,0.5590639019956675
0.6672852742979382,0.6835373512169596,0.34629197057403543,79,27919,,,
0.6598786843198758,0.6749437243818175,0.3398738133944423,80,28268,,,
0.6517472581398862,0.6667030548870714,0.33361729548610697,81,28617,,,
0.6564658965627237,0.6724719487968218,0.33787942555770195,82,28966,,,
0.6553455997674716,0.672150794740574,0.3375162327300612,83,29315,,,
0.668121272308437,0.6839021018645353,0.34664133669954,84,29664,,,
0.6688554430417822,0.6854752293402486,0.347780874204787,85,30013,,,
0.6571686315673128,0.6732049638376062,0.3384255395505042,86,30362,,,
0.6626199979153607,0.6794110673292513,0.3430708061444818,87,30711,,,
0.6557437710912315,0.6706672485627561,0.3366202314167448,88,31060,,,
,,,89,31409,0.3126426748862292,0.1261236928126174,0.3149900530824562
0.6596513764564491,0.6756627532018906,0.3403210248473379,89,31409,,,
0.6654894591060955,0.6824637263676707,0.34540088774417455,90,31758,,,
0.6582278276241269,0.6744383615713393,0.33933722150237533,91,32107,,,
