train_mIoU,epoch,train_F1,train_OA,step,val_OA,val_F1,val_mIoU
0.4980902898557953,52,0.855058360324821,0.8319396098227076,18496,,,
0.49883299175800305,53,0.8557739980306878,0.8327878061201647,18845,,,
,54,,,19194,0.8562993720026286,0.872671039430343,0.5193639714081931
0.498792543041133,54,0.8557537728720814,0.8324461447816863,19194,,,
0.5014217168268454,55,0.8583293871187436,0.8352310923928858,19543,,,
0.5002665425449534,56,0.8571955202083535,0.833979609361009,19892,,,
0.5028916045507804,57,0.859727388356546,0.836304825834695,20241,,,
0.49976787630760117,58,0.8567104209254037,0.8337485195914106,20590,,,
,59,,,20939,0.8563678099377308,0.8718401798520379,0.5182238519809266
0.5010663938054057,59,0.8579808223659495,0.8349952588450258,20939,,,
0.3746636058999503,60,0.8565116074143001,0.8336123928299605,21288,,,
0.5011296944665135,61,0.8580086465086664,0.8346467988197304,21637,,,
0.5022187817221863,62,0.8591035344668446,0.8356857737019272,21986,,,
0.5023191720089041,63,0.8591940684208881,0.8361896635126588,22335,,,
,64,,,22684,0.8547541552250915,0.871251876568778,0.5172246980439461
0.5004616489259509,64,0.8573867034334248,0.8341844662554283,22684,,,
0.5027058148723315,65,0.859560363371282,0.8361390996457512,23033,,,
0.5046387935445781,66,0.8614453127153043,0.838409708017606,23382,,,
0.5026613083870124,67,0.8595327512758142,0.8363587125324586,23731,,,
0.50346725890342,68,0.8603198092919202,0.8369048591329579,24080,,,
,69,,,24429,0.8308931860593273,0.8393747324730993,0.36475979444102624
0.5035629260877427,69,0.8604286420110183,0.8371548802941439,24429,,,
0.5045365801417419,70,0.8613378647603638,0.8379082884692871,24778,,,
0.5061246203527836,71,0.8628942985857571,0.8393043802255886,25127,,,
0.5034220482242944,72,0.860255153927058,0.8371767191627304,25476,,,
0.5029402781617786,73,0.8597967143029047,0.8363997888428433,25825,,,
,74,,,26174,0.8581556565690736,0.8744101744827039,0.5210322569520579
0.5042550273454502,74,0.8610746182270468,0.8376762149668695,26174,,,
0.5053220935969358,75,0.8621145947089224,0.8388009494901727,26523,,,
0.5077541113718439,76,0.8644507176743903,0.8409767478789845,26872,,,
0.5075936921311995,77,0.8642957781132778,0.8410356188230322,27221,,,
0.5086842848670209,78,0.865343875898933,0.8420352881139191,27570,,,
,79,,,27919,0.8551617612933156,0.8723685522461454,0.5181824641638545
0.5083590806205045,79,0.8650477728924743,0.8415538274114657,27919,,,
0.5075773658600244,80,0.8643230885738591,0.8411158914210802,28268,,,
0.5086433773952982,81,0.865328857916201,0.8418325735709727,28617,,,
0.5077448748581194,82,0.8644669720961324,0.8410801928501073,28966,,,
0.5069469722800138,83,0.8636772703294778,0.8403327526540673,29315,,,
,84,,,29664,0.8578175459757876,0.8736459970882727,0.5199125329500253
0.5086243157058012,84,0.865308527703833,0.8418879905197886,29664,,,
0.5080505096379473,85,0.864760276213989,0.8413535612702027,30013,,,
0.5076081779788905,86,0.8643394955881615,0.8408839928044971,30362,,,
0.5100255988008473,87,0.8666453325823452,0.8431498792588197,30711,,,
0.5119691115446168,88,0.8685123661174712,0.8451445177837906,31060,,,
,89,,,31409,0.8579403716738848,0.8733948739260039,0.520008827865447
0.5101008839910431,89,0.8667206174315079,0.8429851586634244,31409,,,
0.5092181631798832,90,0.8658784821753515,0.842323849740889,31758,,,
0.5092366039028304,91,0.8658781828127877,0.8421681357659718,32107,,,
0.5093262495827783,92,0.8659853448027591,0.8421749344527891,32456,,,
0.512157925763104,93,0.8687004825897406,0.8450957027752282,32805,,,
,94,,,33154,0.855553051032641,0.8712591668925672,0.5170768990523688
0.5096277839308031,94,0.8662730250511113,0.8426856448110672,33154,,,
0.510679542779148,95,0.8672781824460193,0.8432292118455071,33503,,,
0.5130064026473736,96,0.8695177232349347,0.8458839350921717,33852,,,
0.5113902712273802,97,0.8679620137674768,0.8442194810227882,34201,,,
0.5118399538891732,98,0.8683733991056056,0.8447385421796649,34550,,,
,99,,,34899,0.8555719356725698,0.8711432389253284,0.5173099775807104
0.5147400195474395,99,0.871185077501951,0.8478547891436469,34899,,,
0.5099796541601903,100,0.8666196807413995,0.8433252897508505,35248,,,
0.5144922704537662,101,0.8709341533743481,0.8469327473025607,35597,,,
0.5113980148437428,102,0.8679811319829975,0.8440255763537561,35946,,,
0.5119876689625171,103,0.8685470126479912,0.8449896563773167,36295,,,
,104,,,36644,0.8536923852297326,0.8710958374546445,0.5161456276378195
0.5105741113469405,104,0.8671800510454579,0.8431909992906629,36644,,,
0.5107693944982868,105,0.867355942983858,0.843438331582143,36993,,,
0.5126100681873615,106,0.86913954976383,0.8456327990337906,37342,,,
0.515036393403737,107,0.8714536227570767,0.8475044053741716,37691,,,
0.514610916702218,108,0.871029972208309,0.8469954001527801,38040,,,
,109,,,38389,0.8530527247060631,0.8707061951779733,0.5167116543790925
0.5137491046639182,109,0.8702424724397213,0.8467193865844376,38389,,,
0.5133230189369244,110,0.8698153438559257,0.8461195500327385,38738,,,
0.5147178359157029,111,0.8711500533900555,0.8473348972790561,39087,,,
0.5146410848729802,112,0.8710649641228683,0.8474546722149779,39436,,,
0.5123981870724731,113,0.8689391948861185,0.8451200556276861,39785,,,
,114,,,40134,0.858825079285271,0.8749004517263343,0.5215976353459716
0.5148525475415081,114,0.8712667461030941,0.8472982586967226,40134,,,
0.5168030804509686,115,0.8731557059020161,0.8498163086637042,40483,,,
0.516554486684088,116,0.8729014653824471,0.8491396097877304,40832,,,
0.5173226861883108,117,0.8736095221349915,0.8497432501063304,41181,,,
0.5172566865529215,118,0.873559665743892,0.8501050888979673,41530,,,
,119,,,41879,0.8581958430828421,0.8751250301089839,0.5210364321682129
0.517413031629033,119,0.8737143389506998,0.8502435328967248,41879,,,
0.5173585217946034,120,0.8736615090926048,0.8501496847857717,42228,,,
0.5170682486539668,121,0.8733849491858175,0.8495883886998566,42577,,,
0.5153250058143017,122,0.8717027534526955,0.8481117620167553,42926,,,
0.5174403840518824,123,0.8737250091260479,0.8498063838925948,43275,,,
,124,,,43624,0.855400463142016,0.8721161186296063,0.5186012187212661
0.5122454191496479,124,0.8688045681389482,0.8455100073172231,43624,,,
0.5181151971390081,125,0.8743824524395651,0.8503793536079646,43973,,,
0.5195003244338503,126,0.8756820554435669,0.8517253187119447,44322,,,
0.5166038799925495,127,0.8729591948017001,0.8495717964063059,44671,,,
0.518360926832812,128,0.5830787195680192,0.8512751844346009,45020,,,
,129,,,45369,0.8583976821144015,0.8752567365095553,0.5218623167219038
0.5187053321012195,129,0.5832936866593393,0.8508795489554417,45369,,,
0.5195660716968965,130,0.583839381846471,0.8520212474046941,45718,,,
0.5164603647912162,131,0.5818814974771332,0.8489986518051015,46067,,,
0.51975738809451,132,0.5839560848601842,0.8519332142477389,46416,,,
0.518307501775947,133,0.5830404301241542,0.8510107570527958,46765,,,
,134,,,47114,0.8576900368869882,0.5822187817303105,0.5198457418334089
0.5220062786989551,134,0.8780355731139278,0.8544180359061603,47114,,,
0.5210866246006004,135,0.5848076638648837,0.85352871957686,47463,,,
0.5183836340946646,136,0.58309059817623,0.851033470350555,47812,,,
0.5179423403001849,137,0.8742151242476948,0.8503675269534047,48161,,,
0.5191587380474542,138,0.5835743431877529,0.8515311735748902,48510,,,
,139,,,48859,0.8581275562248595,0.8751433259228325,0.5216139097419931
0.520592556100834,139,0.5844720810786567,0.8527067780153115,48859,,,
0.5207068422268426,140,0.5845469612015597,0.8528735753799918,49208,,,
0.5199648487594528,141,0.584077505229235,0.8524565601075617,49557,,,
0.5210532846285185,142,0.5847690074355679,0.8532882734151145,49906,,,
0.5196945460357593,143,0.8758791236551842,0.8519575452394675,50255,,,
,144,,,50604,0.8580680318398037,0.8756115541810197,0.5213820364681135
