train_OA,train_mIoU,train_F1,step,epoch
0.4734960727937231,0.16089686845374876,0.32473069428206286,698,0
0.47024948709512465,0.21034520378777302,0.4781060723756316,1397,1
0.4673303868808118,0.20964580927264895,0.47774168631065417,2096,2
0.48587614613370655,0.2201389981606526,0.4954726797338304,2795,3
0.4666858503917426,0.21014252210089746,0.4793346048494319,3494,4
0.45934964727093386,0.20529738798442307,0.47022961865059965,4193,5
0.47693117766591775,0.20889055039581816,0.47140143508876,4892,6
0.46078379880716863,0.2063408049911435,0.4726555626385659,5591,7
0.47926740960160713,0.21668262158677942,0.4899347842180857,6290,8
