epoch,step,train_F1,train_OA,train_mIoU
0,348,0.33149036239955704,0.48283032086653827,0.1654352906617083
1,697,0.32506628322426623,0.4815460686014169,0.1605262787081718
2,1046,0.3239190158467242,0.47901824688843114,0.15968526689846324
3,1395,0.3247363059391398,0.480885830854618,0.1602975640458894
4,1744,0.3242095755981445,0.47969485832148767,0.15990545863935407
5,2093,0.3244511661998044,0.48020508774372084,0.16007800008227638
6,2442,0.32544780696294656,0.48239356535553585,0.16080731947857446
7,2791,0.32549519397899973,0.48253598800702896,0.16084968835382427
8,3140,0.3237136889254826,0.47860678424124725,0.1595431318993429
9,3489,0.3253357566645303,0.4821581471615329,0.1607274023797465
10,3838,0.3251119534007236,0.48167122127675044,0.1605644897928276
11,4187,0.3245950692103926,0.48056351626158433,0.16019179116581161
12,4536,0.32457514487577943,0.48048088270477024,0.1601694138839384
13,4885,0.3244845293727602,0.48031871981470486,0.16011050706813892
