train_F1,epoch,train_mIoU,train_OA,step
0.6752761448683628,0,0.2548825798747063,0.6576674059673844,348
0.7092089092988962,1,0.3664236491262025,0.6922944295713757,697
0.7367497549997288,2,0.38882187604217133,0.7176556737511751,1046
0.7486215575108919,3,0.3988317136394837,0.7286096479967876,1395
0.7591233006295992,4,0.4078536074297243,0.7388476833573042,1744
