train_F1,train_OA,epoch,train_R2,step,train_mIoU
0.31765893439780724,0.4609249044044505,0,0.15667948305150112,698,0.15619211570349883
0.4776771578730231,0.4717866736590776,1,0.22537906629797302,1397,0.21045376651842226
0.4920314464279596,0.4816486757030132,2,0.2370401955402282,2096,0.21800758597695102
0.4916328791215851,0.4802789428885572,3,0.23618537540776455,2795,0.21756266401772764
