train_OA,step,epoch,train_F1,train_mIoU
0.4871010427712517,559,0,0.2748921202444937,0.18025754695893723
0.5607540291431591,1119,1,0.38076343160894277,0.2296911564130676
0.5916139676610508,1679,2,0.4380490250380595,0.2668055838526314
0.6316150668288222,2239,3,0.5025033315432452,0.31161248960984794
0.650227286282526,2799,4,0.5394006889204715,0.33874987323479633
0.6611815472743612,3359,5,0.5539661859949386,0.35030035313852004
0.6794662159143302,3919,6,0.5842248995574667,0.3745190115743128
0.69414033242599,4479,7,0.6066248540118124,0.39361336071575426
0.7027500110447035,5039,8,0.5412321996533671,0.40436459414970705
0.7119204278497208,5599,9,0.5509338049913397,0.41440324099506987
0.7234455915345318,6159,10,0.5648094274997217,0.429100186492022
0.7336880406606192,6719,11,0.5732012722080736,0.43841246138721146
0.741697447823501,7279,12,0.5842236840552386,0.44950766928783265
0.7370116967768399,7839,13,0.5793748493801019,0.44375875531602726
0.7598651856788353,8399,14,0.6046922610004453,0.47254604836724423
0.7665208646689933,8959,15,0.6141252584652823,0.4817656286416296
