train_OA,train_F1,epoch,train_mIoU,step
0.4705551867832953,0.32220036751855413,0,0.15939562780194239,698
0.4724128734059258,0.47987953101528025,1,0.21141242732369014,1397
0.47351746565964764,0.48452482003085506,2,0.21347500320895607,2096
0.4747309214055793,0.4871875221746669,3,0.2147379198496622,2795
