train_mIoU,train_F1,step,train_OA,epoch
0.15877983689878614,0.32031749173746094,698,0.4722943612945949,0
0.21419219652698462,0.484557863730818,1397,0.4774115566531987,1
0.2171521807202241,0.4908487257876921,2096,0.4796151309907009,2
0.21666239723349076,0.48985223821207824,2795,0.479334447857989,3
0.21644980763866215,0.4901643083323074,3494,0.47731055176479786,4
0.21071700007833027,0.479847688651515,4193,0.4682119912514529,5
0.21197992542969377,0.4770909958539113,4892,0.48141333234838823,6
0.20523537472703382,0.47053535121270385,5591,0.4593212689794013,7
0.2202805788213428,0.4958375180252007,6290,0.48587047047540005,8
0.21700374706824074,0.4906874639960377,6989,0.4796982793848913,9
0.20998164091393756,0.47691886937256495,7688,0.4707366550429184,10
0.21659389824713773,0.48857764020653427,8387,0.4820238803759835,11
0.21062056354293826,0.4800097950736966,9086,0.46833978088116945,12
0.21260946243571918,0.4814311884828475,9785,0.4758662277025214,13
0.21583569888793627,0.48620563620726875,10484,0.4825046086345448,14
0.21446048395747494,0.4854333361169445,11183,0.47675957631996596,15
0.21037605390831957,0.47475652284160874,11882,0.4776685111682984,16
