epoch,train_mIoU,step,train_OA,train_F1
0,0.16002386129118068,698,0.47248685342900565,0.3230996163984208
1,0.21290756270124356,1397,0.47597993733374677,0.4819563356216382
2,0.2122152175383832,2096,0.4717632506538358,0.48219272841265803
3,0.21780006600038238,2795,0.48054445455002676,0.49213547948581704
4,0.21224016471017668,3494,0.47030661477892516,0.48292549625763903
