step,train_F1,epoch,train_OA,train_mIoU,val_OA,val_F1,val_mIoU
10818,0.48541035807947147,30,0.47290574650368233,0.21372043097896243,,,
11167,0.4877082799945209,31,0.47481447236244173,0.21499822042318062,,,
11516,0.4896857973136678,32,0.4769373240648504,0.2161883359711033,,,
11865,0.48953541803259903,33,0.47673821654224113,0.2160882498454856,,,
12214,,34,,,0.5919860235535264,0.41027343039651226,0.20980703846847484
12214,0.3558449961305969,34,0.46775494332299866,0.16698626308621858,,,
12563,0.355679159380931,35,0.46775273538933776,0.16693527952732432,,,
12912,0.35397282847824185,36,0.467898765061168,0.1664387401422996,,,
13261,0.35501645023645845,37,0.4669342915444797,0.16656858477397887,,,
13610,0.3550062680117667,38,0.46742375327386276,0.16666178800674078,,,
13959,,39,,,0.5932369421024124,0.40688152878449174,0.2089169071838561
13959,0.3516644423447797,39,0.46692110952470217,0.16553579041050315,,,
14308,0.3518348172752849,40,0.46684354765708935,0.16557160715305,,,
14657,0.35261570176855683,41,0.4677655676374462,0.16599395378990803,,,
15006,0.35270532773421176,42,0.4679274900594891,0.16605322215442528,,,
15355,0.3480806497610772,43,0.4668302563336653,0.16442270763615702,,,
15704,,44,,,0.5963760224899434,0.40058847209798204,0.20747789327693486
15704,0.3443366098147761,44,0.4674546206236568,0.1634130590486075,,,
16053,0.3440057882054605,45,0.46681327054698685,0.16318682725317055,,,
16402,0.34388110391627674,46,0.4667308774581952,0.16313211677083084,,,
16751,0.34352693673725604,47,0.46770127523252814,0.16321913825723391,,,
17100,0.3419089603388524,48,0.46729011863555464,0.16264913469009437,,,
17449,,49,,,0.596571969513845,0.39989450035349444,0.20729008742290242
17449,0.34342022529142535,49,0.4673546515084952,0.16311680852694047,,,
17798,0.3424639115699376,50,0.46767241906983115,0.16288869479335014,,,
18147,0.3415459334067396,51,0.4676034047473808,0.16260136208292772,,,
18496,0.3418106379843947,52,0.46745094802113174,0.16264890586750988,,,
18845,0.34214621502726683,53,0.4673044811347152,0.16272264816962495,,,
19194,,54,,,0.5978118594330127,0.39754232219620045,0.2067681599140702
19194,0.3412481144800503,54,0.46761040018076194,0.16251271270196319,,,
19543,0.34039207678679106,55,0.4674458544712011,0.16222585837079864,,,
19892,0.332134607042296,56,0.4673751350118642,0.1597577927013865,,,
20241,0.33216904522143975,57,0.46761350440432475,0.15981524196778002,,,
20590,0.33163183960165854,58,0.46650754824750396,0.15943685229471113,,,
20939,,59,,,0.6007623955754942,0.38966983879939293,0.20482701377975163
20939,0.33170845424708933,59,0.4666849917873611,0.15949468631048924,,,
21288,0.33175388104179326,60,0.4668062751136058,0.15953219974128421,,,
21637,0.33169621968936575,61,0.4666903913875022,0.15949209506493103,,,
21986,0.33187583408614224,62,0.4670299103745075,0.15961264717131968,,,
22335,0.33201424252945627,63,0.46743216965464934,0.15973305406581068,,,
22684,,64,,,0.6007775032874372,0.3896535408643539,0.20482490214503293
22684,0.33211966842175894,64,0.4676251998945088,0.15980204241863727,,,
23033,0.3313813542455755,65,0.46745280618312357,0.15954968218502466,,,
