train_mIoU,train_F1,step,epoch,train_R2,train_OA
0.1596152282104702,0.32376426603226593,349,0,0.1608023892372125,0.4655979795005699
0.21164122366810648,0.4813668882134502,699,1,0.22653931118549125,0.470493933332495
0.2104069689584894,0.4786756034033793,1049,2,0.22475264947658014,0.46944112054609255
0.2108385160716532,0.4797921780482335,1399,3,0.2253110337646038,0.46949071706790946
0.21492583261281514,0.4868376282966546,1749,4,0.23193526460546154,0.4762978615167314
0.2100689742006915,0.47814722787669706,2099,5,0.2242153012804815,0.4688345454793119
0.21272133657024447,0.4826528798838453,2449,6,0.2285670814039983,0.4734768847027561
0.21156077226859882,0.4814881790333875,2799,7,0.2262307515263905,0.4697133556797098
0.21018816486754252,0.47751382579258217,3149,8,0.2248828566516237,0.470899415459585
0.2111253098942758,0.4774618118593358,3499,9,0.22735587612084426,0.4761743068012897
0.21741021622331913,0.4918257366058526,3849,10,0.23560423589443472,0.47886941497759067
0.21657754050299124,0.49036794201113365,4199,11,0.23426997425864649,0.47757641269754775
0.21007843477569396,0.47475225451543324,4549,12,0.2261383197240243,0.47632650176172425
0.21034358272399659,0.4775522146944967,4899,13,0.22517259909158865,0.47147542928933067
0.21392848264287542,0.4853058267108342,5249,14,0.23019896513751326,0.47421111842252317
0.21190553582795912,0.4806717481981954,5599,15,0.2275432651797834,0.4733299069820725
0.21103894162060896,0.4779090259665829,5949,16,0.22679694454429294,0.4745491038746758
0.21240203271916822,0.48253887529582384,6299,17,0.2278151565200333,0.47200269794600536
0.21218461600032099,0.4810303199254906,6649,18,0.22805966015823464,0.47405606380348037
0.2147605557836064,0.4863386676603138,6999,19,0.23183255063399566,0.4765918606170086
0.20908110829273516,0.4711106977562778,7349,20,0.2254804360745803,0.4785557257088809
0.21370488713731228,0.4848665298157764,7699,21,0.22989567070389208,0.47402087472197996
0.21271547346291528,0.48122501989218935,8049,22,0.22936001317861301,0.47659469844616187
0.2127802463668642,0.48171472984794206,8399,23,0.22925738166040943,0.47588410602618686
0.2130553519838594,0.4820678258665737,8749,24,0.2297594141673316,0.4765809895484061
0.21247325336212208,0.47931354179078806,9099,25,0.22978365951157012,0.47940155160273595
0.21723222316832216,0.49145544014269044,9449,26,0.235346523024067,0.47871139155266446
0.2145918988132022,0.48477194424025805,9799,27,0.23223202792482078,0.47902006004671843
0.21438335655243904,0.4836182714372843,10149,28,0.23235790650088695,0.48044685505660983
0.21498257757985037,0.4845856839138122,10499,29,0.23338347529849965,0.4816053005758784
0.21695564227556843,0.48951670828878846,10849,30,0.2357097588478345,0.4814487615538939
0.21332407035246945,0.4798765310028794,11199,31,0.2316794326209561,0.48278088221734167
0.2150355238499859,0.4838460020382733,11549,32,0.23393228191988216,0.48348486031244403
0.21697031185257187,0.4884116652928435,11899,33,0.23642327816395492,0.4840460737716827
0.2136964813178028,0.47979369655681703,12249,34,0.2327104778472735,0.4849937777321396
0.2140521658639537,0.48034313835543885,12599,35,0.233337242916272,0.48574165486129733
0.21754723454053113,0.48897408746891446,12949,36,0.23760768495079296,0.4859215077412486
0.216802317303692,0.4868762391924761,13299,37,0.23685242061016665,0.48647340002319156
0.2170629657323757,0.48737458886157203,13649,38,0.2372535896075318,0.4867989208565249
