train_mIoU,train_F1,epoch,step,train_OA,val_F1,val_mIoU,val_OA
0.16213405721858354,0.4837230562925662,0,348,0.4897580297082064,,,
0.1203137223524638,0.3250301766946834,1,697,0.481063536723227,,,
0.24653381158509075,0.6591012121457299,2,1046,0.649613366769173,,,
0.4174260850104414,0.7700028276614403,3,1395,0.7492404489599188,,,
,,4,1744,,0.841480652653144,0.4873738320855961,0.8233745310566201
0.4332823899131544,0.7877341221835501,4,1744,0.766488083454121,,,
0.44452779083850924,0.8000064897559321,5,2093,0.7784314087263833,,,
0.3363787296914147,0.8042910911087701,6,2442,0.7829363585201579,,,
0.45581341766209565,0.812033023066441,7,2791,0.7902455152276593,,,
0.46392721036692874,0.8205732790975407,8,3140,0.7984349597832534,,,
,,9,3489,,0.860077258441909,0.505752126183853,0.8429743700688416
0.46322687167094806,0.8198170950461869,9,3489,0.7974322081295329,,,
0.46394214239107284,0.8205795534584108,10,3838,0.7989765374913256,,,
0.4718494624462264,0.8287459679375082,11,4187,0.8063386627459593,,,
0.46828034810033187,0.8250711198284642,12,4536,0.8029407840062006,,,
0.4727033858108058,0.8296536496121351,13,4885,0.8072167645211205,,,
,,14,5234,,0.8296275825740878,0.47539650370641123,0.8116657521465025
0.47880564955778965,0.8358608561256047,14,5234,0.8135330943460108,,,
0.47596179718852527,0.8329388065381226,15,5583,0.8105416065642347,,,
0.47792556808486414,0.8349489298785449,16,5932,0.8125372069612955,,,
0.354641695052487,0.8297740937553206,17,6281,0.807466545214284,,,
0.47551214430096395,0.8324580646435087,18,6630,0.8099807914143645,,,
,,19,6979,,0.8621985670761215,0.5084521283892997,0.8479118724860755
0.48242215730925225,0.8394944056923918,19,6979,0.8169965989951758,,,
0.4810820445157975,0.8381108321816788,20,7328,0.8154769066753222,,,
0.4834537340277918,0.8405273989495363,21,7677,0.8181196283815924,,,
0.4842481695779668,0.8413418707085423,22,8026,0.818303673861703,,,
0.48371031177475315,0.840786637844921,23,8375,0.8178416473476113,,,
,,24,8724,,0.8698318264723846,0.5153272107632997,0.8520213212117097
0.4872912284709088,0.8443899147717708,24,8724,0.821673068071163,,,
0.48708183346505246,0.8441868257402658,25,9073,0.8218158842157838,,,
0.48872574732398144,0.8458045619236539,26,9422,0.8234091816112441,,,
0.48738006578781273,0.8444927370822695,27,9771,0.8220083897981396,,,
0.49004062767014983,0.8471163418912562,28,10120,0.8241912054810618,,,
,,29,10469,,0.8628148485660929,0.5069365073706864,0.843742748298266
0.48953875546392106,0.8466144094113631,29,10469,0.8239979129124506,,,
0.4885538058987983,0.8456285160324976,30,10818,0.8228252596704869,,,
0.49151608719151446,0.8485906168933974,31,11167,0.825512402378727,,,
0.4900952027564886,0.8471978056408718,32,11516,0.824592371724738,,,
0.4929508289443268,0.8499859577598663,33,11865,0.8272652175160055,,,
,,34,12214,,0.8677071255487318,0.5126057970437851,0.85016896465037
0.4900157848712195,0.8470870802899891,34,12214,0.8241267600510386,,,
0.49472445533582193,0.8517820598097087,35,12563,0.8289471601688416,,,
0.4911022561748594,0.848196495055338,36,12912,0.8251965804223002,,,
0.4938620127851355,0.850973150529315,37,13261,0.8283128711077408,,,
0.493720979330047,0.8508244443563562,38,13610,0.828198364607584,,,
,,39,13959,,0.8718786346347184,0.5159228104561713,0.850899271445698
0.4936761077465879,0.8508054821315252,39,13959,0.8277897875766698,,,
0.4949040851404572,0.8520389743264692,40,14308,0.8292067563294679,,,
0.496030469674477,0.8531151929515726,41,14657,0.8300748458906024,,,
0.373751384884648,0.8554121065931073,42,15006,0.8324292682986545,,,
0.49599077508536027,0.8531055570222794,43,15355,0.8297987448793426,,,
,,44,15704,,0.8475148921616081,0.4907971100006467,0.8259395183903143
0.49576621737999593,0.852902357804576,44,15704,0.8301408652931365,,,
0.4956380087726699,0.8527737371650873,45,16053,0.8304426526613425,,,
0.4989235304993617,0.8560079626817505,46,16402,0.8334013930706033,,,
0.49820149877756564,0.8553110910714723,47,16751,0.8324424940398907,,,
0.4980837057728218,0.8551940341378425,48,17100,0.8326157184589899,,,
,,49,17449,,0.8744671469230119,0.5183381418220776,0.8513747111405463
0.4995793591973241,0.856654525170718,49,17449,0.8338019253531294,,,
0.5001505148192154,0.857229976036612,50,17798,0.8347959764365821,,,
0.4993311128679602,0.8564137901641657,51,18147,0.8335551833013407,,,
0.5008144697224449,0.8578725114647133,52,18496,0.8350825050157256,,,
0.5036929876665478,0.8606876707089812,53,18845,0.8379697827008528,,,
,,54,19194,,0.879527584080484,0.5242376280925363,0.8581580738029845
0.5020720352227918,0.8591279643053984,54,19194,0.8361900351450572,,,
0.5038442069017239,0.8608502516538883,55,19543,0.8381472481014393,,,
0.5025127127619712,0.8595472686129912,56,19892,0.8367464562883349,,,
0.506418579506153,0.8633064555758008,57,20241,0.8401711362822348,,,
0.5025243285312263,0.8595708997092804,58,20590,0.8370281973677582,,,
,,59,20939,,0.8757172720392858,0.5205044562527107,0.8564885205561559
0.5037400813444335,0.8607681546489836,59,20939,0.8382302314299224,,,
0.5042978644384662,0.8612939741594134,60,21288,0.8387257048598673,,,
0.5050645634112078,0.8620284471705271,61,21637,0.8390728532414039,,,
0.5048638374605087,0.8618588286478162,62,21986,0.8389273700878065,,,
0.5051715931701397,0.8621536532504848,63,22335,0.839574425814828,,,
,,64,22684,,0.856864565973105,0.5014407022107836,0.84176998327274
0.503883415352519,0.8609123248252515,64,22684,0.8381638622557194,,,
0.5050483244183853,0.8619889379432626,65,23033,0.8388871900673239,,,
0.5086341464617651,0.8654769280632626,66,23382,0.8427630755143041,,,
0.5056368012244828,0.8626017910176234,67,23731,0.8399003255674694,,,
0.5065561602272716,0.8634660604161548,68,24080,0.8404198676603911,,,
,,69,24429,,0.8471908310729286,0.49162489594604875,0.8331620622389374
0.3809628302491992,0.8648523185342885,69,24429,0.8420455845174268,,,
0.5085054050392549,0.86538162611886,70,24778,0.8423844258218234,,,
0.509734461157955,0.8665601494396434,71,25127,0.8434070925999506,,,
0.5064997449040067,0.8634257578291977,72,25476,0.8407299839664666,,,
0.5060983412037747,0.863039536786689,73,25825,0.8400722820642683,,,
,,74,26174,,0.8728879751557229,0.51805158296871,0.8552363933903143
0.5073234512238622,0.8642124622239789,74,26174,0.8411851462115529,,,
0.5088749944723727,0.8657383941664365,75,26523,0.8428751554735068,,,
0.5106565827272096,0.8674457980701704,76,26872,0.844404860007387,,,
0.5099672855651575,0.8667984609881856,77,27221,0.8440452291494112,,,
0.5113694615543545,0.8681396130668594,78,27570,0.8452931270216801,,,
,,79,27919,,0.8299504818948861,0.4747610476878519,0.8182457650061868
0.5125011279233321,0.869196635337717,79,27919,0.8460338122523615,,,
0.5107197941680256,0.8675188241930933,80,28268,0.8447763175199229,,,
0.5119353945284949,0.8686699126443271,81,28617,0.8455791090825907,,,
0.5097783325750334,0.8665950337301825,82,28966,0.8436427512619761,,,
0.5111975808900852,0.8679435225890635,83,29315,0.8449066511881043,,,
,,84,29664,,0.8766980415683517,0.5217353892439921,0.8576223543374832
0.5123487207362737,0.8690770303697397,84,29664,0.8461057340518109,,,
0.5121464206124343,0.8688488504487122,85,30013,0.8457426054771444,,,
0.5103353306919224,0.8671405403938534,86,30362,0.8441591454098762,,,
0.5139132379635253,0.870546849558006,87,30711,0.8473918226181947,,,
0.5144527832519918,0.8710777066028861,88,31060,0.8481578444341532,,,
,,89,31409,,0.8727075629250403,0.5179717716583553,0.8557264875657474
0.5138066128693838,0.87046833359835,89,31409,0.8471812382126946,,,
0.5116197516020297,0.8683808433227882,90,31758,0.8453281916315029,,,
0.5130198902626918,0.8697085577571593,91,32107,0.8464151726752774,,,
0.5114619633576205,0.8682434270709969,92,32456,0.8450124571179932,,,
0.5140848266885912,0.8707428720742892,93,32805,0.8476955774520392,,,
,,94,33154,,0.8743341369376934,0.5193472813731096,0.8557140992419541
0.5125621951175985,0.8692831999866211,94,33154,0.8461938546516833,,,
0.5130786513898752,0.8697711023000838,95,33503,0.8462210712596815,,,
0.5161354834690715,0.8727126539175869,96,33852,0.849611320604909,,,
0.5144813441129408,0.8711433918333261,97,34201,0.8479985671603576,,,
0.5159341924390323,0.8725146856035496,98,34550,0.8493829852872044,,,
,,99,34899,,0.8692414313326065,0.514405539487541,0.8532214778484671
0.5171442502643737,0.8736827571841393,99,34899,0.8509858358213757,,,
0.5126982469221035,0.8694250766808805,100,35248,0.8466530829924224,,,
0.5174091213641968,0.87392341876553,101,35597,0.8505237218643668,,,
0.5146298377660731,0.8712785520228176,102,35946,0.847917835486994,,,
0.5148825206892705,0.8715290742731345,103,36295,0.8486067763713846,,,
,,104,36644,,0.8696395337807081,0.5144589226353278,0.852217872544089
0.5139786474487393,0.870655626315717,104,36644,0.847267216461094,,,
0.38613979304156665,0.8714965874311389,105,36993,0.8481393283964227,,,
0.5148629613640566,0.8715041523316571,106,37342,0.8486189090761549,,,
0.5172689526503315,0.8738030240868657,107,37691,0.8505300177544097,,,
0.5174449856766966,0.8739657223931958,108,38040,0.850579029509536,,,
,,109,38389,,0.8776257149286638,0.5222640538008415,0.8566929278987456
0.5159979546922323,0.8725943803351632,109,38389,0.8497097157475598,,,
0.5144478557864337,0.8711100488743075,110,38738,0.8480542245771958,,,
0.5176281587291695,0.874140095824478,111,39087,0.8509570233801373,,,
0.5173871992618125,0.8739156892741444,112,39436,0.8509240136788703,,,
0.5148801216353441,0.8715258920908313,113,39785,0.8483688441935103,,,
,,114,40134,,0.8651566957326797,0.5103365693302565,0.8500613977413353
0.5172943925518537,0.8738288953094104,114,40134,0.850572449430012,,,
0.519353239554252,0.8757893794361791,115,40483,0.8531796693118731,,,
0.5199603181044211,0.8763666330383431,116,40832,0.8533241250111926,,,
0.5205956729661131,0.8769651159375139,117,41181,0.8537586725885341,,,
0.5194834192810355,0.875911277503454,118,41530,0.8531440581838174,,,
,,119,41879,,0.8668869618419579,0.5120215812016548,0.8510220971437951
0.5198422593693872,0.8762447253010897,119,41879,0.8534285755758639,,,
0.5200651362314586,0.8764534935035275,120,42228,0.8535375950329623,,,
0.520172155547339,0.8765569739003403,121,42577,0.8534247936696923,,,
0.5176870107812904,0.8741968188137297,122,42926,0.8512192646890109,,,
0.5211572758113511,0.8774918256382274,123,43275,0.8542322852891631,,,
,,124,43624,,0.8778588424705444,0.5230371130773709,0.858276820418857
0.5149329540894411,0.8715779580489202,124,43624,0.8489050441621708,,,
0.521315668258555,0.8776436743544713,125,43973,0.8543673408748768,,,
0.5223297709505298,0.8786005557728942,126,44322,0.8553162058308335,,,
0.518828443222398,0.8752769628429918,127,44671,0.852499975515983,,,
0.521614838184087,0.8779194751456425,128,45020,0.8551642519013587,,,
,,129,45369,,0.8737695309006972,0.5193920235062395,0.8572428486134733
0.521673325010397,0.8779817919143466,129,45369,0.8546412776739343,,,
0.5220988202239554,0.878376149182125,130,45718,0.8553062591989947,,,
0.5201909296143622,0.8765774499267268,131,46067,0.8534140819123275,,,
0.5223977756396208,0.8786633712489809,132,46416,0.8553661138758617,,,
0.5207387390558019,0.8770998915064403,133,46765,0.8542173762717696,,,
,,134,47114,,0.856903487909779,0.5021114986408611,0.8437107199489468
