step,train_OA,train_F1,train_R2,train_mIoU,epoch
698,0.995232372130069,0.9976104899176026,0.9928570820646416,0.24880809303251739,0
1397,0.9999999999999996,1.0,0.9999999999999996,1.0,1
2096,0.9999999999999996,1.0,0.9999999999999996,1.0,2
