train_mIoU,epoch,train_OA,train_F1,step,val_F1,val_OA,val_mIoU
0.26686778023457314,0,0.6767984953172568,0.46399525429614474,348,,,
0.288312104832515,1,0.712267069556993,0.7314667835676936,697,,,
0.3110907882046007,2,0.7464721155029995,0.7670629617626735,1046,,,
0.43732513372644694,3,0.7707382464477188,0.7921256218291534,1395,,,
,4,,,1744,0.8420609725537724,0.8246707727413354,0.4877705559838348
0.4436654416903112,4,0.7774981304704288,0.7990360361108828,1744,,,
