train_OA,train_F1,step,train_mIoU,epoch,val_mIoU,val_F1,val_OA
0.4750772820502775,0.3244871799854408,348,0.16116588391449246,0,,,
0.48042205548218114,0.33926989069852753,697,0.16448294164134136,1,,,
0.47975246134323507,0.3447328954537698,1046,0.16598641660701854,2,,,
0.4795745368673329,0.33729962056572144,1395,0.16372532043386603,3,,,
,,1744,,4,0.11524528883692155,0.2651583343368714,0.33383057849241904
0.48040609714978055,0.3386441063472788,1744,0.16429135877577736,4,,,
0.48062531654336044,0.33839137618450943,2093,0.16425955283193508,5,,,
0.4803781154162562,0.3405356758569503,2442,0.16484927217157955,6,,,
0.4797984563177157,0.3386448949453007,2791,0.16417006637708303,7,,,
0.480467023002384,0.3396029200713353,3140,0.16459091562722797,8,,,
,,3489,,9,0.11419514075349659,0.2619185982880311,0.3328878572671715
0.47940686507347996,0.34080731137538,3489,0.1647370337540727,9,,,
0.4802192097748589,0.337881508958293,3838,0.1640264588442207,10,,,
0.4794593308238381,0.3449363561954829,4187,0.16598540024062505,11,,,
0.48003850898633366,0.33971518409245205,4536,0.16453593860473897,12,,,
0.4805359936033756,0.3366114184666635,4885,0.1637142057823742,13,,,
,,5234,,14,0.11418831977474357,0.26189678952755574,0.33288256956799145
0.47942413504963954,0.33917732417493046,5234,0.1642520337041504,14,,,
0.479971964926296,0.3398877758573414,5583,0.164575752432562,15,,,
