train_F1,epoch,train_OA,step,train_mIoU
0.4768478514518819,0,0.8790510760200057,698,0.008886335839854854
0.9462745161555854,1,0.8980275514484046,1397,0.44901377572420254
0.9466788440411081,2,0.8987561283522287,2096,0.4493780641761146
0.9471846949757211,3,0.8996684323029266,2795,0.4498342161514635
