epoch,train_mIoU,train_F1,train_OA,step,train_R2
0,0.21242421808629297,0.322215057475069,0.4700883420581298,698,0.16240279630131166
1,0.2145354825246016,0.3231612859395004,0.47878436742081315,1397,0.16683384360830988
2,0.21338997883435332,0.4842672571744485,0.47361672419164647,2096,0.2294137889026448
