train_OA,epoch,train_mIoU,step,train_F1
0.46673490117718386,0,0.15702085072867028,698,0.3181101382800167
0.4674789799811672,1,0.2081784111977739,1397,0.4739946341044789
0.467701094686047,2,0.20996709739608063,2096,0.4783921390807928
0.4758142735995618,3,0.21438393619096482,2795,0.4858340412906875
0.46696718840810525,4,0.21030391322996222,3494,0.47961230154815104
0.4662235680226774,5,0.2091066872218962,4193,0.4766970882488142
0.487428569657267,6,0.21448954150151242,4892,0.4806585045609256
0.45540231423657673,7,0.20316089104269128,5591,0.46704079261879894
0.481020707770308,8,0.21701666049438004,6290,0.4900082212038787
0.47284832737476523,9,0.21226490559160763,6989,0.4820049535454125
0.46566014978848125,10,0.2069641967741814,7688,0.47162098829458565
0.4710425511961842,11,0.21072851410261814,8387,0.4789230146084481
0.47417867985235596,12,0.2141306049781553,9086,0.4861032110494351
0.47025129893989176,13,0.20864685398492164,9785,0.47401759693504864
0.4736218759430324,14,0.21058192930590222,10484,0.47724339643161406
0.47910122196050153,15,0.2165936868561749,11183,0.4896071136151442
0.4625249379694205,16,0.20333380836182294,11882,0.4637813997517132
0.4849634347896548,17,0.21362207441153166,12581,0.4795926503744331
0.4640910267318266,18,0.19406881313806723,13280,0.43850124219396847
0.47925535974243333,19,0.21246571844058568,13979,0.47933897217319255
0.475497069788593,20,0.2153189668563755,14678,0.4881352191028423
0.46988233749105857,21,0.20895580745068565,15377,0.475034440043719
0.4765415000642658,22,0.21581948007018167,16076,0.4889784785504739
0.46876449475813653,23,0.21097334152999522,16775,0.48036955887647087
0.488600440291376,24,0.20372868009872658,17474,0.45185126347037685
0.4725385237490499,25,0.20356801554290885,18173,0.45963110220166414
0.48700719568691875,26,0.19397474756626631,18872,0.42621675441018075
0.4818793693837177,27,0.2176481190337015,19571,0.49089240850474997
0.4712442990195256,28,0.20680753513118208,20270,0.46848977999844277
