train_mIoU,step,epoch,train_F1,train_OA,val_mIoU,val_F1,val_OA
0.16047093065869233,348,0,0.32457938410942694,0.47106767452207193,,,
0.21863478942913164,697,1,0.49322665519002906,0.4819029012860404,,,
0.21509765636109912,1046,2,0.48693333413781503,0.4771559532187387,,,
0.2132813264941343,1395,3,0.48224045244595387,0.47744838419479757,,,
0.21560136849410663,1744,4,0.487413548033087,0.4786586816126432,,,
0.21459090455890784,2093,5,0.4867920708037031,0.47551755713869975,,,
0.21527309963150834,2442,6,0.4867953552942855,0.47816080350247353,,,
0.21792681397053607,2791,7,0.49255429793091354,0.4803598398465481,,,
0.21309167845098761,3140,8,0.48435178243371535,0.4712959879790472,,,
0.20915534380808687,3489,9,0.4749031406722649,0.47031774220288985,,,
0.2166891661664776,3838,10,0.48989001431583734,0.4791761032148213,,,
0.21399851520597565,4187,11,0.48533525427739216,0.4747268108378849,,,
0.21992592532859026,4536,12,0.49566188738949496,0.4843128499465548,,,
0.218837374715156,4885,13,0.4942212036675311,0.4821516982463847,,,
0.2161652422614009,5234,14,0.48870491337512667,0.4793751888767012,,,
0.2125654800952539,5583,15,0.48316870504106446,0.47142997238902434,,,
0.22094547785327415,5932,16,0.4954839807070871,0.48996830806349606,,,
0.21386333927135623,6281,17,0.4852735817671674,0.47413974095210637,,,
0.21138243163852463,6630,18,0.4780335328091326,0.47629131765283617,,,
0.21548629138729355,6979,19,0.4877077514272445,0.4780331149825393,,,
0.21926844000249704,7328,20,0.49304442817373817,0.48629627391738667,,,
0.19981197402635598,7677,21,0.45379317074713876,0.46409335860550227,,,
0.20725522608135263,8026,22,0.46775368050072175,0.4750150226931858,,,
0.21262228351664506,8375,23,0.47752250821360614,0.48433075388386454,,,
0.2166430308441136,8724,24,0.48791992073447904,0.4834350760823334,,,
0.2207229543347556,9073,25,0.4960143264239669,0.4877931436358344,,,
0.22031470488355973,9422,26,0.49324945916228313,0.49147825049807475,,,
0.2200430457375172,9771,27,0.4950482855026654,0.48590225613219684,,,
0.23046371098621746,10120,28,0.513554029990654,0.5007223878002439,,,
0.22681803545647783,10469,29,0.5069738373539461,0.49591729019296193,,,
0.20710334332255206,10818,30,0.47204794959429364,0.46558183380389273,,,
0.2201938353844639,11167,31,0.49478629484065667,0.4876727784602211,,,
0.22038297771284363,11516,32,0.4950935563330463,0.4883293654652242,,,
0.22910870949874415,11865,33,0.511513902108287,0.49819550609861873,,,
0.22212832852998968,12214,34,0.4994947146436142,0.4875647427359419,,,
0.228825111473977,12563,35,0.5107283547079216,0.4990694980566685,,,
0.22749798848314695,12912,36,0.5087525552470106,0.495777228500235,,,
0.2353643446297066,13261,37,0.5216110540601377,0.508753495093403,,,
0.22886728747331767,13610,38,0.5107904023308059,0.49825804964519155,,,
,13959,39,,,0.31512169078993973,0.6408181713897123,0.6210925413830436
0.233368518589571,13959,39,0.5183536742468801,0.5059350568448916,,,
