epoch,train_mIoU,train_OA,step,train_F1
0,0.16271840617106723,0.4773448458386422,698,0.3274532397606463
1,0.21053613965057905,0.4696983151851975,1397,0.47890516258292626
2,0.2154382704685743,0.4763630879283462,2096,0.488118939761613
3,0.21737662327443372,0.4803210300778455,2795,0.4911963275466161
4,0.20605017573607629,0.45981262818255986,3494,0.4721717921204624
