train_OA,epoch,step,train_mIoU,train_F1,val_F1,val_mIoU,val_OA
0.7065440617864657,186,65262,0.3784996123752184,0.7242063827849543,,,
0.6968954354097644,187,65611,0.3704432867107343,0.7142653135193487,,,
0.7056565380369694,188,65960,0.37776672071259787,0.7232930905096222,,,
,189,66309,,,0.593171333775206,0.2948870319826356,0.6478821405089717
0.7024367805196766,189,66309,0.37555452128475625,0.7206358528647836,,,
0.7031145724321162,190,66658,0.37562136743411917,0.7206751952323723,,,
0.7050900609582064,191,67007,0.37759832525242065,0.7231118171388355,,,
0.7030737803112127,192,67356,0.3758680686443217,0.7209884932064168,,,
0.7013826342913345,193,67705,0.37420353012765945,0.7189145212163481,,,
0.6964639483345271,194,68054,0.3698879643478176,0.7135633198096086,,,
0.7004688995273884,195,68403,0.37307437313906916,0.7174700171872893,,,
0.7016030997464854,196,68752,0.374525523069785,0.7193199344535062,,,
0.7026625581320513,197,69101,0.37546694383086526,0.48034221880542555,,,
0.7058230293514393,198,69450,0.3782336226915713,0.4826669490038434,,,
,199,69799,,,0.7420463231001453,0.39500439635057677,0.7266900090887983
0.7021843546782659,199,69799,0.37492335956772543,0.47989225970561494,,,
0.7020204429298553,200,70148,0.37476106252172575,0.47973776001470747,,,
0.7049518137060126,201,70497,0.3772348803216941,0.7226424192647664,,,
0.6948096813650048,202,70846,0.3689707218657457,0.7124188502783418,,,
0.7090806933733658,203,71195,0.38054788967615855,0.7266727069281389,,,
0.7077156438526928,204,71544,0.37978454094763464,0.4838492048973517,,,
0.7074422535718682,205,71893,0.37939867992153414,0.7252942895130077,,,
0.7066344777629162,206,72242,0.37888559531488836,0.7246902188704094,,,
0.7036554724575795,207,72591,0.37638452319788734,0.7216004971951494,,,
0.7094662510563103,208,72940,0.38090424518294946,0.7271168456307926,,,
,209,73289,,,0.6386188947244155,0.3127633092854903,0.6167433332688728
0.7055834138974076,209,73289,0.377726712130771,0.7232318563650151,,,
0.7069651431545486,210,73638,0.3789067973196644,0.48313935086548937,,,
0.7071386299023996,211,73987,0.37908416865275907,0.7249190913111978,,,
0.709932846462829,212,74336,0.38156303395747626,0.4852884855033002,,,
0.7058578534932395,213,74685,0.37812413585294724,0.48249455734651264,,,
0.7064966895860382,214,75034,0.3786047801464952,0.7243055104299286,,,
0.7065349240016117,215,75383,0.37860001633608986,0.7243298231698378,,,
0.7044146955867209,216,75732,0.3774318136048532,0.48195923470499213,,,
0.7085601675476247,217,76081,0.3805172427060497,0.7266727954792869,,,
0.704917514221716,218,76430,0.3771266408765847,0.7225112600831829,,,
,219,76779,,,0.7498919941673239,0.4013550381841422,0.7276776002185168
0.7052651654000267,219,76779,0.37761982201854244,0.7231277389004793,,,
0.7117183433904346,220,77128,0.38287378007142925,0.7295076055728703,,,
0.7100093152939759,221,77477,0.3815413129883356,0.7279132024812838,,,
0.7071509812144631,222,77826,0.37933722757398974,0.4834897523861321,,,
0.7037846912285659,223,78175,0.37626130342780256,0.7214297182016577,,,
0.7059941770012534,224,78524,0.3783333359247014,0.7239752417274381,,,
0.7076792238776526,225,78873,0.379543078263598,0.7254758748107355,,,
0.7087659207319461,226,79222,0.3808842705882561,0.48476415786109434,,,
0.7064337962677962,227,79571,0.3783644225483833,0.7240147533631416,,,
0.703120649714866,228,79920,0.37616447994944985,0.7213654334004995,,,
,229,80269,,,0.6635255031779527,0.3416544109952912,0.7049179832534024
0.7115310843831146,229,80269,0.38268224588489536,0.7292785847771073,,,
0.7035835506581303,230,80618,0.37650471251215917,0.7217796052250139,,,
0.706447131312679,231,80967,0.37865435122040686,0.7244178207331149,,,
0.7073120292073334,232,81316,0.37930874206307036,0.7251845628436262,,,
0.7115103822724524,233,81665,0.3829012465262909,0.7295367961070588,,,
0.7147939949800769,234,82014,0.3859963994470689,0.733322176790739,,,
0.7062413562676284,235,82363,0.3783702794095265,0.7240602162488377,,,
0.7053358848593637,236,82712,0.3776725021390959,0.7231729088255607,,,
0.7127172475557955,237,83061,0.38384420919678464,0.4871314406477822,,,
0.708273136171707,238,83410,0.38008613872864583,0.7261602487084269,,,
,239,83759,,,0.7323682708165542,0.3862660985448169,0.709421138952273
0.7102642551192581,239,83759,0.38181191979237106,0.7282238831288872,,,
0.710448191295722,240,84108,0.3817771763237073,0.7281636997901665,,,
0.7053624893669411,241,84457,0.37759385131500495,0.7230900115440017,,,
0.7107552033782346,242,84806,0.3822942872842312,0.728836860341155,,,
0.7131601896531943,243,85155,0.38430269526870103,0.7312399816958541,,,
0.7073182813759177,244,85504,0.378865552040849,0.7246183438022824,,,
0.7070956954300232,245,85853,0.37851623497530634,0.7241534602889248,,,
0.7119064331054686,246,86202,0.3833631549417893,0.7301334448924797,,,
0.7110924051279324,247,86551,0.3825139323688373,0.7290758391253793,,,
0.7095576944870388,248,86900,0.38120666493173533,0.7274944571972108,,,
,249,87249,,,0.7296846118646022,0.388462745453499,0.7343419141108436
0.7117303886522877,249,87249,0.3833937493594178,0.48678270061576967,,,
0.7105540846685283,250,87598,0.3820601266374648,0.7285652468123606,,,
0.7112379538637177,251,87947,0.38265532483288106,0.7292642172405661,,,
0.7115344946568879,252,88296,0.38286600297162504,0.7295272119248515,,,
0.7149067089004297,253,88645,0.3856113696892252,0.7327876341846795,,,
0.7119397925784047,254,88994,0.3833554071019823,0.7301150638256715,,,
0.7111846136841868,255,89343,0.38254546748141155,0.7291083131113942,,,
0.7120307987945468,256,89692,0.38316348400719763,0.7298696185117026,,,
0.7094448712630393,257,90041,0.3811078380609573,0.4849087124267905,,,
0.7096632599489052,258,90390,0.38143171047661983,0.7277953542253051,,,
,259,90739,,,0.723387056131077,0.3787472088399819,0.7003049944887056
0.7135772049256245,259,90739,0.38461611691465897,0.7316165144656515,,,
0.712074826303389,260,91088,0.38350188389851664,0.48687256447416366,,,
0.7119411698043516,261,91437,0.3833045080900847,0.7300475970746909,,,
0.7086912882020616,262,91786,0.38072419037725114,0.7269307080938866,,,
0.7099216537694192,263,92135,0.381449678844542,0.7277902096662395,,,
0.7139052251690096,264,92484,0.38500061225355026,0.4880928422037072,,,
0.7117604690158263,265,92833,0.38304909331255593,0.7297294530119949,,,
0.7115311062438439,266,93182,0.3832620952162453,0.7300008115664882,,,
0.709640962005003,267,93531,0.3815203471667763,0.7279049485472795,,,
0.7032653021607493,268,93880,0.37572598861307654,0.7207802317251182,,,
,269,94229,,,0.74098262237685,0.39360216977902246,0.7184455796043461
0.7118202581105053,269,94229,0.38335349767361526,0.48675466723415967,,,
0.717875308498612,270,94578,0.38854037669521446,0.7363652837280813,,,
0.7135960925957534,271,94927,0.3850528981457508,0.7321720946725636,,,
0.7095555521355658,272,95276,0.38125439307184844,0.7275398140183613,,,
0.7113408304558783,273,95625,0.3827253841892784,0.4862213683182266,,,
0.7121700735010185,274,95974,0.38325141955704706,0.4866671148500692,,,
